training_size,epoch,train_loss_mean,train_loss_std,train_accuracy_mean,train_accuracy_std,validation_loss_mean,validation_loss_std,validation_accuracy_mean,validation_accuracy_std
5000,1,2.254741456612116,0.002842920517885049,0.3161333333333333,0.02269919234980252,2.130086420238983,0.008666530907766958,0.40853333333333336,0.12846078519662463
5000,2,1.7473249222702425,0.015782556822175643,0.6051333333333333,0.012789579091327994,1.3150303563865529,0.03772192503276365,0.6322333333333333,0.03346824365474435
5000,3,0.9824767451415785,0.008992875700906733,0.7671999999999999,0.004156921938165304,0.8103013810056932,0.025289103651696374,0.778,0.02176763652765268
5000,4,0.6767428068008084,0.005314710014857312,0.8252,0.003862641583165619,0.728136099402903,0.013059466531237638,0.7612,0.014226383939708606
5000,5,0.5514996169425198,0.0025232121751874717,0.8533333333333334,0.003817503547258785,0.5792350131964348,0.022281794843301363,0.8239666666666666,0.011398391699416725
5000,6,0.47888720110888205,0.002697206723191851,0.8697333333333334,0.003139001964531623,0.5367478331912744,0.02854372181812118,0.8257,0.017930142219179383
5000,7,0.4345824990894058,0.0034898993619719965,0.879,0.0013114877048603657,0.4797032160302859,0.010275881528217557,0.8492666666666667,0.012890435730933717
5000,8,0.4017046257515869,0.0007175505162812754,0.8865333333333334,0.0013316656236958438,0.4496398840698212,0.028362698296360202,0.8655333333333334,0.008778002810054987
5000,9,0.3793419095368666,0.0017451663002026742,0.8928666666666666,0.00030550504633041625,0.4317322229953817,0.03143754581336296,0.8653333333333334,0.015546489421516804
5000,10,0.35922297806513254,0.0006192317934962469,0.8968666666666666,0.001331665623695869,0.4341944645079616,0.07655618490566014,0.8645,0.027430639802964858
5000,11,0.34580373079418797,0.004794859638536105,0.9008666666666666,0.002484619353811205,0.3836252405556559,0.011691954016798798,0.8849,0.004517742799230561
5000,12,0.3302478744605423,0.001072774631568719,0.9049999999999999,0.0015099668870541215,0.3848513798813422,0.004598625386448644,0.8827333333333334,0.0023501772982762862
5000,13,0.3177615878675047,0.0011154609879556558,0.9090666666666666,0.002023198787399105,0.39754426124153136,0.08001679124246744,0.8750333333333332,0.03278937836149581
5000,14,0.3091363069870936,0.0038405740006978214,0.9098666666666667,0.0025166114784236004,0.36998941147367187,0.011829722280309408,0.8861,0.010450358845513352
5000,15,0.29780188588419176,0.0010501162232629717,0.9150666666666667,0.0017009801096230285,0.46160669840674434,0.19900330987548476,0.8568000000000001,0.06583988153087755
5000,16,0.2927410666224146,0.010019956117682837,0.9167333333333333,0.0030615900008546994,0.3571662812659158,0.05081301568711691,0.8916,0.01957626113434334
5000,17,0.27955090657763876,0.003901153612108061,0.9198,0.0003999999999999976,0.3806018252842825,0.05602297195619886,0.8834333333333334,0.015805167931196917
5000,18,0.27246283368154317,0.004472120996702839,0.9226666666666666,0.0032578111260988317,0.3337933439492369,0.025351941364858098,0.8998333333333334,0.007894512862319843
5000,19,0.262074102496523,0.0012696384831188468,0.9255333333333334,0.0012055427546683194,0.32751147681233705,0.012438764630427016,0.9019666666666666,0.0035345909711496713
5000,20,0.25458140808325974,0.001548000850495835,0.9257333333333334,0.0005033222956846942,0.32408875237276386,0.014621577698006333,0.9044333333333334,0.0041259342376404684
5000,21,0.24911285570741257,0.001808538751479456,0.9293999999999999,0.0020880613017820395,0.3551665034930384,0.004553039189565681,0.8918666666666667,0.003484728588187767
5000,22,0.24378227122820442,0.0014959779717241728,0.9304,0.002306512518934189,0.3762584793058695,0.035080358580599755,0.8826,0.009083501527494773
5000,23,0.23811680184074832,0.0025850868156492676,0.9314666666666667,0.0006429100507328706,0.3840598313500729,0.12376499415801778,0.8839,0.03835348745551042
5000,24,0.23077593886963543,0.005779654015842106,0.9329333333333333,0.0019629909152447597,0.31568199654815005,0.02235831970323169,0.9031333333333333,0.008230633835454769
5000,25,0.22338944774975103,0.0025805992321957087,0.9354,0.0023065125189341267,0.321725082448074,0.02022214049915705,0.9035666666666667,0.005844940832321014
5000,26,0.21809609703786811,0.001297425708456803,0.9377333333333334,0.0009451631252504792,0.29698210449593315,0.00468035140184415,0.9107333333333333,0.0027592269448766457
5000,27,0.21068238062342895,0.0029796665597257308,0.9401999999999999,0.0008717797887081756,0.3593622663570633,0.04572893148171395,0.8909333333333334,0.01643847113734528
5000,28,0.20811692845630148,0.0037444380927233387,0.9408,0.0012165525060596652,0.31363784690685814,0.03907273946603234,0.9054000000000001,0.012139192724394898
5000,29,0.20168373357091937,0.004974674555132988,0.9438,0.00341174442184639,0.4492766923620605,0.11660917916813217,0.8565333333333333,0.04297724203963454
5000,30,0.2025258131497436,0.004399218837006002,0.9426666666666667,0.0027006172134039154,0.29163934925426044,0.015408811236354564,0.9125,0.005631163290120433
5000,31,0.19107897864303092,0.00310757584787856,0.9456666666666665,0.0008326663997864681,0.295319457015557,0.007017240763093908,0.9113333333333333,0.003189566323708155
5000,32,0.18548319569412766,0.0027855941423939514,0.9484,0.002116601048851707,0.3361987763628655,0.05865019406600222,0.8952,0.023381402866380775
5000,33,0.18194195263606236,0.003740152915638477,0.9489333333333333,0.0004618802153516738,0.3684508522186074,0.1394938589943892,0.8879666666666667,0.043804604019821156
5000,34,0.1791770907272767,0.006962297208964928,0.949,0.0036715119501372177,0.291578348247413,0.016904956241492113,0.9133666666666667,0.005424327915358107
5000,35,0.17207829616324322,0.003732026559072822,0.9518666666666666,0.002052640575778762,0.3013711942688614,0.04324316705833586,0.9093333333333332,0.014673218233684589
5000,36,0.16781582941491205,0.0010040495873237833,0.9526666666666667,0.0012858201014657182,0.2831836510295553,0.014531803150336494,0.9153333333333333,0.005001333155602937
5000,37,0.1623700269345996,0.0008273477755580523,0.9561999999999999,0.0016370705543745014,0.33212083029882455,0.07765434609321395,0.8974333333333333,0.027710166606019073
5000,38,0.1605134888160822,0.002119736692490469,0.9552666666666667,0.0006110100926607386,0.27960233689513037,0.007999148497473735,0.9165333333333333,0.0043615746392023855
5000,39,0.1545133101323201,0.0018252240683750089,0.9575999999999999,0.002107130750570537,0.31455402822141665,0.04608389529518892,0.9058333333333334,0.01572079302495059
5000,40,0.15352478493060082,0.003284125793235012,0.9580666666666667,0.0009451631252505478,0.28597918658754323,0.013413040088667304,0.9155000000000001,0.0027874719729532337
5000,41,0.14842789465331685,0.0022076907320679414,0.9598666666666666,0.0014468356276140226,0.339194904372263,0.12340308322931656,0.8960333333333333,0.04100174793022043
5000,42,0.14505811200162302,0.004754712856756267,0.9610666666666666,0.002444040370643079,0.30455827104107436,0.02965230710602496,0.9071666666666666,0.011689881664641999
5000,43,0.1421312579650381,0.0021086091099514616,0.9613333333333333,0.0006429100507328576,0.33473363918043136,0.1232691568954668,0.8990333333333332,0.040826502830065295
5000,44,0.13877453700080333,0.006101798389363057,0.9628,0.003649657518178913,0.27540422762755595,0.007403086691853782,0.9185,0.004121892769105007
5000,45,0.13420315107788525,0.0019405218006661527,0.9638,0.0019287301521985368,0.28265792641931053,0.02712029127523019,0.9156666666666666,0.00906495081803169
5000,46,0.13061412748782522,0.001005336685620196,0.965,0.0006928203230276108,0.26845478111579185,0.007877388754273273,0.9198666666666666,0.0028728615235220738
5000,47,0.1274712813261671,0.0015661122683866577,0.9668,0.0014000000000000679,0.27428159720564366,0.017180805122680352,0.9172333333333333,0.006792888438163335
5000,48,0.12413841520092946,0.0014212634709090234,0.9672666666666666,0.0009451631252505478,0.2690961624978406,0.014690923115466914,0.9197666666666667,0.005580621231846318
5000,49,0.12093532719184912,0.002684369881129869,0.9683333333333333,0.0011718930554164707,0.3441831729689073,0.132430029409016,0.8979,0.03933903913417305
5000,50,0.12089699862664734,0.003272509007946736,0.9693333333333333,0.0017473789896107863,0.26681077809203074,0.008341164248510736,0.9209666666666667,0.003113411847689532
5000,51,0.11568940550674618,0.0009712037700712544,0.9700000000000001,0.0003464101615137373,0.2645531748627184,0.0032473731900410888,0.9220333333333333,0.00040414518843273243
5000,52,0.11205100773834668,0.0009714937162350147,0.9721333333333333,0.001331665623695869,0.27335892384579874,0.01772544979466646,0.919,0.00564269439186631
5000,53,0.11032477668122755,0.0025157150720771346,0.9716666666666667,0.00023094010767582486,0.2644730460853937,0.010439779516163946,0.9224333333333333,0.004535783651513063
5000,54,0.10764429846490205,0.0022684899746154585,0.9738666666666665,0.0007023769168568799,0.2705455715216843,0.022706555224607454,0.9192,0.007493997598078052
5000,55,0.10512351082540994,0.002076430353736006,0.9739333333333334,0.0007571877794400301,0.3276490901490113,0.03144198269401196,0.9004,0.011926441212700492
5000,56,0.10590028331286616,0.0015837093856890846,0.9737333333333332,0.0006429100507328188,0.26298596113555367,0.010668394318476817,0.9221333333333334,0.0033020195840323422
5000,57,0.10012759734971466,0.0013201087093740501,0.9757333333333333,0.0006110100926607962,0.3352876245953329,0.07209822741386195,0.8992666666666667,0.02063500262498979
5000,58,0.1012103359193131,0.002021067993611836,0.9751333333333333,0.001814754345175524,0.2871659982918038,0.056062033974833045,0.9145,0.016919515359489462
5000,59,0.09664193372129587,0.0024092154755309615,0.9770666666666666,0.0018036999011291808,0.2748937750525396,0.026570982150333267,0.9179333333333334,0.009029027263960071
5000,60,0.09388891497428885,0.0016058801814041973,0.9778666666666668,0.0007023769168568825,0.3611456786851405,0.14647312593840423,0.8952333333333332,0.039198129207059534
5000,61,0.09613464934943498,0.008545361586068743,0.9773333333333333,0.0025324559884296817,0.2848185505182783,0.020773605870805057,0.9141,0.008007496487667047
5000,62,0.09008481660129312,0.0020131986091606003,0.9793333333333334,0.0009451631252505272,0.2577520850102002,0.007646343328113318,0.9226000000000001,0.0026627053911389155
5000,63,0.08657442036521035,0.001840289212912997,0.9798,0.0006000000000000449,0.25603238653844135,0.001334687645960127,0.9243666666666668,0.001011599393699592
5000,64,0.08455597831769625,0.0012543897120456508,0.9815999999999999,0.0007211102550927762,0.2550768999782818,0.003664264320456639,0.9249333333333333,0.0024337899115028866
5000,65,0.08230999616922205,0.0016358575195292938,0.9813999999999999,0.0009165151389910943,0.2978855675955647,0.05544694568598987,0.9118666666666666,0.017502666463523022
5000,66,0.08260092296474368,0.001466827928426767,0.9815999999999999,0.0003464101615137373,0.27383170840524457,0.01453872279954923,0.9188999999999999,0.006495382975622022
5000,67,0.07986867569820776,0.001805162767651356,0.983,0.0015099668870541712,0.2784388410880199,0.020113418313292036,0.9178333333333333,0.006557692683660417
5000,68,0.0780941999060168,0.0016151724680121742,0.9836,0.001777638883463206,0.2789983723724902,0.03150524372065788,0.9172333333333333,0.011679183761433553
5000,69,0.07759474831076126,0.00319493929135485,0.9846666666666666,0.001474222959166394,0.26982850722966284,0.013996145081133322,0.9213666666666667,0.005676559991168322
5000,70,0.07454914876280128,0.0016406267011581876,0.9847333333333333,0.0010066445913694585,0.2588945375058574,0.010433191352509561,0.9238666666666666,0.0020207259421637044
5000,71,0.07221302774258868,0.0011132317314127694,0.9850666666666666,0.0015275252316519692,0.2657151446446597,0.016053699753638937,0.9208666666666666,0.005824374072235826
5000,72,0.07107611135261198,0.0005342919354250037,0.9860000000000001,0.00034641016151376136,0.2530706339523763,0.0018526075766288862,0.9258000000000001,0.0009165151389911912
5000,73,0.06859847080406595,0.001059160265655795,0.9876,0.00091651513899117,0.2570487799254891,0.008631936756578501,0.9239666666666667,0.003970306453327354
5000,74,0.06694421133968213,0.0012574455673113444,0.9874,0.0012489995996796776,0.25686680925937067,0.009158660291503702,0.9250666666666666,0.001950213663508017
5000,75,0.06547566204769101,0.0008697349311692828,0.9883333333333333,0.001222020185321547,0.2531566035846315,0.0007707990462750311,0.9254000000000001,0.00019999999999997797
5000,76,0.06372201841015808,0.0010621270087055072,0.9883333333333333,0.0010263202878893901,0.27906589788584096,0.0309373964665931,0.9188666666666666,0.00959652714961681
5000,77,0.06445089754677424,0.0023233040829606106,0.9883333333333333,0.0019008769905843636,0.2562069466850713,0.0049595340651958815,0.9258000000000001,0.0006244997998398488
5000,78,0.06137514659715046,0.0012822021498738207,0.9889333333333333,0.0013613718571107557,0.260558540907585,0.010106080921784822,0.9238,0.00441701256507159
5000,79,0.06009456986098436,0.001991866260145,0.9897333333333332,0.0006429100507328576,0.2569565713052869,0.006364150168127267,0.9251333333333333,0.0017473789896107438
5000,80,0.05871834201115634,0.0005005187449940055,0.9901333333333332,0.00011547005383791244,0.25353299453096073,0.0034158624006380076,0.9265666666666666,0.0008621678104251853
5000,81,0.05726312542403177,0.001429669743803415,0.9909333333333333,0.0007023769168568799,0.2525700133657891,0.0022685470455341547,0.927,0.001113552872566004
5000,82,0.05603808264274255,0.0007091499964161316,0.9912000000000001,0.0005291502622129647,0.30052830148250437,0.06623075865059247,0.9123,0.01847078774714284
5000,83,0.05772974103367809,0.004984011165151418,0.9894666666666666,0.0030353473167552734,0.2899386185246893,0.04317822756135572,0.9161333333333334,0.014144021116122998
5000,84,0.054830410058716465,0.0015638075485892404,0.9913333333333334,0.0008082903768654614,0.2746897304022577,0.039698201457415046,0.9188000000000001,0.012990765951243955
5000,85,0.05439277652130562,0.004482767994757154,0.9912000000000001,0.001400000000000054,0.2569797677145311,0.006617376884329828,0.926,0.0014730919862655978
5000,86,0.051813497244873885,0.0017374656206599736,0.9916,0.0005999999999999478,0.2665624312044114,0.019563534765342467,0.9224666666666667,0.005390114408185909
5000,87,0.05086271938847984,0.0009974499451921375,0.9914666666666667,0.0007571877794400301,0.27390728822468474,0.013456647579179594,0.9204666666666667,0.004994330118577858
5000,88,0.04984450415404152,0.001357928406678023,0.9926,0.001248999599679651,0.2615198109427335,0.005377593614377937,0.9247333333333333,0.002441993720985615
