training_size,selected_epoch_mean,selected_epoch_std,train_loss_mean,train_loss_std,train_accuracy_mean,train_accuracy_std,validation_loss_mean,validation_loss_std,validation_accuracy_mean,validation_accuracy_std,generalization_gap_mean,generalization_gap_std,training_seconds_mean,training_seconds_std
5000,92.33333333333333,9.865765724632496,0.04282098551800915,0.009603466725235607,0.9946666666666667,0.0026633312473917105,0.25281011128211867,0.0029009029147997545,0.9286666666666666,0.0005686240703076969,0.06599999999999999,0.0023302360395461817,9.419164944666287,0.6441826957650933
10000,98.0,2.6457513110645907,0.021240783447219663,0.0015792821543105294,0.9986333333333333,0.0005507570547286176,0.1636819166965162,0.0020870000833048317,0.9541,0.0005567764362830156,0.04453333333333335,0.0006806859285553919,10.346807639332837,1.848969763827237
25000,99.0,1.0,0.008714230163676208,0.0003594315897290493,0.9997466666666668,4.618802153516017e-05,0.10515711683884116,0.0023026701722316275,0.9718666666666667,0.0008504900548115381,0.027880000000000054,0.0008959910713840777,17.105762624999745,1.928724424382574
50000,84.33333333333333,12.423096769056151,0.0076028818737701705,0.002368440932205851,0.9996200000000001,0.00024576411454892025,0.07759804298487855,0.001895357430880472,0.9792000000000001,0.0006999999999999784,0.020419999999999994,0.00045431266766399235,34.86073665299955,3.6479183096403576
