architecture,hidden_sizes,number_of_hidden_layers,seed,parameter_count,final_train_loss,final_train_accuracy,final_val_loss,final_val_accuracy,generalization_gap,training_seconds
1_hidden_layer,[128],1,654571,101770,0.005092214380706671,0.9999,0.07936648999333037,0.9778,0.02210000000000001,25.045177291998698
1_hidden_layer,[128],1,89250,101770,0.005531659986910687,0.99978,0.08046609543160937,0.9787,0.021079999999999988,23.61073262500031
1_hidden_layer,[128],1,773955,101770,0.005559149132904111,0.99988,0.08255983862150044,0.9778,0.02207999999999999,25.997443291998934
2_hidden_layers,"[128, 128]",2,654571,118282,0.000573803807069834,1.0,0.10353830610936439,0.9805,0.019499999999999962,35.65304133299833
2_hidden_layers,"[128, 128]",2,89250,118282,0.0005989643579282305,1.0,0.10680043438770949,0.978,0.02200000000000002,34.851561957999365
2_hidden_layers,"[128, 128]",2,773955,118282,0.0005859735848791595,1.0,0.1108450167452361,0.9783,0.021700000000000053,38.09292983399973
3_hidden_layers,"[128, 128, 128]",3,654571,134794,0.0001306192679160942,1.0,0.18939258694979372,0.9707,0.029299999999999993,36.81105620800008
3_hidden_layers,"[128, 128, 128]",3,89250,134794,0.0001328792493264234,1.0,0.18482707070215554,0.973,0.027000000000000024,43.826732958999855
3_hidden_layers,"[128, 128, 128]",3,773955,134794,0.00012483030790417807,1.0,0.1734009994994276,0.9734,0.026599999999999957,42.293976249999105
