architecture,epoch,train_loss_mean,train_loss_std,train_accuracy_mean,train_accuracy_std,val_loss_mean,val_loss_std,val_accuracy_mean,val_accuracy_std
1_hidden_layer,1,0.8473443565786137,0.010513693712245436,0.7808266666666667,0.008873473577654561,0.3771112757391066,0.007023430139036784,0.8923666666666668,0.0032516662395352283
1_hidden_layer,2,0.3329537675623608,0.0010305191072879501,0.9048933333333333,0.0008542443054146279,0.30071412345566734,0.006760766338402413,0.9118333333333334,0.0029905406423142633
1_hidden_layer,3,0.27960655490205855,0.0017278594330159029,0.9202066666666666,0.000926138938460791,0.26303902493991566,0.00917247744280799,0.9232333333333335,0.004020364825899924
1_hidden_layer,4,0.2424780100886179,0.0006733381577881717,0.93158,0.000503189825016353,0.2316271926611109,0.0018695151568610875,0.9329333333333333,0.0008082903768654259
1_hidden_layer,5,0.2138276974403748,0.0007840988949401249,0.9396733333333334,0.0006357148207595442,0.20379325881267993,0.0029499278256786042,0.9423,0.002291287847477934
1_hidden_layer,6,0.19110686264027918,0.0013781037171089795,0.94654,0.0011459493880621072,0.18498908088633337,0.0006193705868506669,0.9472,0.0007000000000000062
1_hidden_layer,7,0.17251963679013257,0.0018969353185645805,0.9515533333333334,0.0012159495603573437,0.17296630224715667,0.0018003619519007623,0.951,0.0
1_hidden_layer,8,0.15698659539341675,0.0019593166378565107,0.9561133333333333,0.0004455707949735626,0.16151412191611444,0.004684254835620725,0.953,0.002594224354214577
1_hidden_layer,9,0.14350119304575087,0.002237972799169115,0.9598599999999999,0.0008029943959953807,0.1509938477936986,0.002604529567334944,0.9566,0.0011789826122551145
1_hidden_layer,10,0.13223156766879787,0.0020519344792007217,0.9629666666666666,0.0010214368964029951,0.14176907166776165,0.0014361533256728178,0.9588000000000001,0.0007810249675906896
1_hidden_layer,11,0.12221859646698467,0.0017460912946204782,0.9662066666666668,0.0002700617213403812,0.1335940928393905,0.0023112984227867195,0.9606666666666667,0.001101514109457236
1_hidden_layer,12,0.11340486627517377,0.0016828907098801712,0.9685600000000001,0.00036715119501373657,0.12646004141875902,0.0005178227504088253,0.9628666666666666,0.0010066445913694327
1_hidden_layer,13,0.10576120570941405,0.001729473850805258,0.9706466666666667,0.000502924779001107,0.12071413480944178,0.000691275932826021,0.9648666666666667,0.0008621678104251853
1_hidden_layer,14,0.09892276625039398,0.0016259938071506662,0.9728133333333333,0.0007550717405209397,0.11553384276165625,0.002826981204691442,0.9659666666666666,0.0003055050463304314
1_hidden_layer,15,0.09288517040633804,0.0014111992960292353,0.9740466666666667,0.0008237313477909289,0.11110402332636375,0.001120635820642458,0.9678999999999999,0.0012529964086141396
1_hidden_layer,16,0.08751403338559609,0.0012121908847364236,0.976,0.0007158212067269689,0.10901766661420041,0.002221393118515769,0.9679000000000001,0.000964365076099326
1_hidden_layer,17,0.0824825650925317,0.001120976452713042,0.9775133333333333,0.00047427137098221783,0.10392259757089466,0.0014620631284956,0.9696666666666666,0.0010263202878893647
1_hidden_layer,18,0.07799037436401468,0.0009206865344296943,0.9788133333333334,0.0003214550253664756,0.10041078477651359,0.0013378430240242008,0.9705,0.0006244997998397777
1_hidden_layer,19,0.07391081436685672,0.0006249227817894523,0.9798066666666667,0.0005601190349678574,0.09880054960297398,0.0014040820757942115,0.9709666666666666,0.0005859465277082602
1_hidden_layer,20,0.0701763836372129,0.0007974267302275239,0.9809000000000001,0.00026000000000001234,0.0955360060804405,0.001953615341753104,0.9714333333333333,0.001331665623695839
1_hidden_layer,21,0.06682968539798906,0.0006052642862321778,0.9817733333333334,0.0002532455988429393,0.09510870652373428,0.0015657614524094844,0.9715333333333334,0.0005507570547286251
1_hidden_layer,22,0.063487063170144,0.00043630917237375634,0.9827933333333334,0.00046918368826428695,0.09231240645663023,0.0016681125003174748,0.9729666666666666,0.0008504900548115566
1_hidden_layer,23,0.06044197385329478,0.0004733772026033698,0.9838,0.0003857460304397989,0.09052860359102148,0.0005774242739339323,0.9732333333333334,0.0005686240703076896
1_hidden_layer,24,0.05777497671566798,0.00013833075455218743,0.98454,0.00014422205101857294,0.09049342423746531,0.001221018402207261,0.9723333333333333,0.0012897028081435865
1_hidden_layer,25,0.055297779766971124,0.00011067526549088353,0.98538,0.0003019933774107809,0.08784783392508355,0.0006613584265866356,0.9735333333333333,0.0008962886439832258
