architecture,hidden_sizes,number_of_hidden_layers,seed,epoch,train_loss,train_accuracy,val_loss,val_accuracy
1_hidden_layer,[128],1,654571,37,0.0330145507537483,0.9927,0.07788690848487197,0.9764
1_hidden_layer,[128],1,654571,38,0.03167569635221784,0.9929,0.08037519996296062,0.9753
1_hidden_layer,[128],1,654571,39,0.030625154274970662,0.99324,0.07747738147239851,0.9765
1_hidden_layer,[128],1,654571,40,0.029292382609065207,0.99368,0.07718931185666589,0.9771
1_hidden_layer,[128],1,654571,41,0.028228360033795176,0.99392,0.07635581202671057,0.9775
1_hidden_layer,[128],1,654571,42,0.027256773233012996,0.99452,0.07679351682105037,0.9768
1_hidden_layer,[128],1,654571,43,0.026279597269451387,0.9946,0.07730345479682417,0.9764
1_hidden_layer,[128],1,654571,44,0.025270458080867957,0.99532,0.07766732840784434,0.9763
1_hidden_layer,[128],1,654571,45,0.02433636334225312,0.99512,0.07598404651909763,0.9769
1_hidden_layer,[128],1,654571,46,0.023402873221474534,0.99576,0.07617088987801764,0.9766
1_hidden_layer,[128],1,654571,47,0.02264205429877175,0.99614,0.07539693896351315,0.9777
1_hidden_layer,[128],1,654571,48,0.02192570206676055,0.99612,0.07566220300669933,0.977
1_hidden_layer,[128],1,654571,49,0.021131592028700758,0.99626,0.07728635740246262,0.9765
1_hidden_layer,[128],1,654571,50,0.020447360040543882,0.99676,0.07705950238767947,0.9765
1_hidden_layer,[128],1,654571,51,0.019788386060819185,0.99684,0.07582727056682233,0.9782
1_hidden_layer,[128],1,654571,52,0.018940714254652803,0.99706,0.0761801686800754,0.9778
1_hidden_layer,[128],1,654571,53,0.018353174860090634,0.99714,0.07492619971305867,0.9779
1_hidden_layer,[128],1,654571,54,0.017766950160818473,0.99744,0.07530907036400808,0.9776
1_hidden_layer,[128],1,654571,55,0.017213572149538944,0.99762,0.07504909084818923,0.9781
1_hidden_layer,[128],1,654571,56,0.01647843289050869,0.9978,0.07616503267883647,0.9777
1_hidden_layer,[128],1,654571,57,0.01616172200484091,0.99786,0.07552129714993729,0.9771
1_hidden_layer,[128],1,654571,58,0.015571957688687675,0.99808,0.07612682287292159,0.9777
1_hidden_layer,[128],1,654571,59,0.015156579784904733,0.99796,0.07543743653688587,0.9775
1_hidden_layer,[128],1,654571,60,0.014607389291479537,0.99808,0.0752145437155734,0.9775
1_hidden_layer,[128],1,654571,61,0.014179400980112836,0.99842,0.07608295605805664,0.9783
1_hidden_layer,[128],1,654571,62,0.013763437655904138,0.99834,0.07652427074119243,0.9773
1_hidden_layer,[128],1,654571,63,0.013371982072422402,0.99846,0.07570244070599469,0.9779
1_hidden_layer,[128],1,654571,64,0.012891927849386755,0.99862,0.0759489032426258,0.9781
1_hidden_layer,[128],1,654571,65,0.012602532200544485,0.99876,0.07588803303506689,0.9775
1_hidden_layer,[128],1,654571,66,0.012140376272034537,0.9988,0.07698352261529612,0.9774
1_hidden_layer,[128],1,654571,67,0.01183986784539061,0.999,0.07633319277795102,0.9781
1_hidden_layer,[128],1,654571,68,0.011442230932514886,0.99888,0.07707185781060752,0.9778
1_hidden_layer,[128],1,654571,69,0.011200796631230211,0.999,0.07614006624852221,0.978
1_hidden_layer,[128],1,654571,70,0.010867900599608552,0.99906,0.07668956118283038,0.9773
1_hidden_layer,[128],1,654571,71,0.010534471393326965,0.999,0.07681498336926643,0.9776
1_hidden_layer,[128],1,654571,72,0.010337787571742607,0.99912,0.07615210087952527,0.9781
1_hidden_layer,[128],1,654571,73,0.010001107349705463,0.99926,0.075908800873809,0.9784
1_hidden_layer,[128],1,654571,74,0.00974128211544943,0.99934,0.07626131397423098,0.9779
1_hidden_layer,[128],1,654571,75,0.009479396123880901,0.99932,0.07628547254090337,0.9785
1_hidden_layer,[128],1,654571,76,0.009220874393214834,0.99936,0.07771968471342412,0.9779
1_hidden_layer,[128],1,654571,77,0.008939728264820637,0.99948,0.0774963121370428,0.9783
1_hidden_layer,[128],1,654571,78,0.0087682363619098,0.99946,0.07743067299269261,0.9783
1_hidden_layer,[128],1,654571,79,0.00852847027026671,0.9995,0.0772779093653148,0.978
1_hidden_layer,[128],1,654571,80,0.008385098124662756,0.99948,0.07683478087629451,0.9778
1_hidden_layer,[128],1,654571,81,0.008160253149868655,0.99944,0.07740973924424484,0.9779
1_hidden_layer,[128],1,654571,82,0.007982788023907582,0.99948,0.07765844979030473,0.9778
1_hidden_layer,[128],1,654571,83,0.007754041826322151,0.99952,0.07811943437834899,0.9782
1_hidden_layer,[128],1,654571,84,0.007625491857043652,0.99958,0.07807894375450371,0.9782
1_hidden_layer,[128],1,654571,85,0.007434225815673844,0.99954,0.07746486926092644,0.9783
1_hidden_layer,[128],1,654571,86,0.007232961803289551,0.9996,0.07796083694001507,0.9781
1_hidden_layer,[128],1,654571,87,0.007070621477324761,0.99966,0.07819358041369415,0.9783
1_hidden_layer,[128],1,654571,88,0.006921024813945476,0.99964,0.07758156559945233,0.9783
1_hidden_layer,[128],1,654571,89,0.006757869051937023,0.9997,0.07852736792888025,0.978
1_hidden_layer,[128],1,654571,90,0.006657026970812019,0.99972,0.07767452595510814,0.9785
1_hidden_layer,[128],1,654571,91,0.0064629603456406014,0.99972,0.07821277846510982,0.978
1_hidden_layer,[128],1,654571,92,0.006354007755610795,0.9998,0.07860406672430002,0.9781
1_hidden_layer,[128],1,654571,93,0.006192646805571072,0.99982,0.0777743249013715,0.9784
1_hidden_layer,[128],1,654571,94,0.0061015314352015175,0.99982,0.07872503293911166,0.978
1_hidden_layer,[128],1,654571,95,0.005950720713092269,0.9998,0.0799216848751075,0.9783
1_hidden_layer,[128],1,654571,96,0.005830436397464624,0.9998,0.07875802769652827,0.9787
1_hidden_layer,[128],1,654571,97,0.005727293196808107,0.99984,0.07847872114363524,0.9783
1_hidden_layer,[128],1,654571,98,0.005629567926822671,0.99984,0.07841922274444314,0.9786
1_hidden_layer,[128],1,654571,99,0.005501840986537594,0.99988,0.07906624262004033,0.9777
1_hidden_layer,[128],1,654571,100,0.005422873467002984,0.99984,0.07936648999333037,0.9778
1_hidden_layer,[128],1,89250,1,0.8509216129146333,0.78984,0.3722292224044968,0.8917
1_hidden_layer,[128],1,89250,2,0.3330918719193073,0.90466,0.29338603126397605,0.9145
1_hidden_layer,[128],1,89250,3,0.2781210867424759,0.92126,0.2535225058115026,0.927
1_hidden_layer,[128],1,89250,4,0.24175781011821193,0.93216,0.22998020063726707,0.9338
1_hidden_layer,[128],1,89250,5,0.21340438499779593,0.93988,0.2051299530744619,0.9403
1_hidden_layer,[128],1,89250,6,0.19052859687743032,0.94682,0.1852375820907988,0.9465
1_hidden_layer,[128],1,89250,7,0.17210129214353118,0.9521,0.17118528657007592,0.951
1_hidden_layer,[128],1,89250,8,0.15662194954198597,0.9564,0.15883662569491902,0.9538
1_hidden_layer,[128],1,89250,9,0.14245754252658072,0.96022,0.15164232966025995,0.9563
1_hidden_layer,[128],1,89250,10,0.13144470850257278,0.9634,0.14128130052097268,0.9583
1_hidden_layer,[128],1,89250,11,0.12157434459511944,0.9662,0.1319939170862141,0.9594
1_hidden_layer,[128],1,89250,12,0.11284810369120767,0.96872,0.12590276800452443,0.9638
1_hidden_layer,[128],1,89250,13,0.10541762814264101,0.97028,0.12099293987354767,0.9641
1_hidden_layer,[128],1,89250,14,0.09849502150913622,0.97264,0.11359869149749316,0.9657
1_hidden_layer,[128],1,89250,15,0.09252962061671369,0.97382,0.11212005137086305,0.9666
1_hidden_layer,[128],1,89250,16,0.0873648832347391,0.97568,0.10804245208753772,0.9668
1_hidden_layer,[128],1,89250,17,0.08226310781212649,0.97712,0.10330639074251681,0.9688
1_hidden_layer,[128],1,89250,18,0.07793746052777632,0.97868,0.09957447491293378,0.9703
1_hidden_layer,[128],1,89250,19,0.07388249217617987,0.97924,0.0974420461736463,0.9712
1_hidden_layer,[128],1,89250,20,0.0703856417422543,0.9806,0.09763268377241167,0.9703
1_hidden_layer,[128],1,89250,21,0.06705568039343543,0.9815,0.09448975960756079,0.9709
1_hidden_layer,[128],1,89250,22,0.06371119408339175,0.98228,0.09079623424634124,0.9721
1_hidden_layer,[128],1,89250,23,0.060397568222822495,0.98364,0.08986690497804613,0.9734
1_hidden_layer,[128],1,89250,24,0.05765773196808501,0.98466,0.09189521434744564,0.9709
1_hidden_layer,[128],1,89250,25,0.055425368263262324,0.98506,0.08751412434355521,0.9725
1_hidden_layer,[128],1,89250,26,0.0529769342307217,0.98612,0.08837131155671855,0.9733
1_hidden_layer,[128],1,89250,27,0.050660733287312035,0.98636,0.08610277208493908,0.9726
1_hidden_layer,[128],1,89250,28,0.04821562337897862,0.98734,0.08342287873742563,0.9745
1_hidden_layer,[128],1,89250,29,0.04643921360699724,0.98804,0.08485785674031805,0.9729
1_hidden_layer,[128],1,89250,30,0.04465658785459426,0.98864,0.08206282757821341,0.9751
1_hidden_layer,[128],1,89250,31,0.04270582714994265,0.9891,0.08357350078342742,0.9754
1_hidden_layer,[128],1,89250,32,0.041081078682243206,0.98988,0.08055762370441942,0.9756
1_hidden_layer,[128],1,89250,33,0.03950890345863872,0.9905,0.08203798630614893,0.9744
1_hidden_layer,[128],1,89250,34,0.03764628209781346,0.99078,0.08044387158962675,0.9751
1_hidden_layer,[128],1,89250,35,0.03664375607344474,0.99122,0.07923109328502298,0.9752
1_hidden_layer,[128],1,89250,36,0.03530281258976684,0.99124,0.07863840208788929,0.9756
1_hidden_layer,[128],1,89250,37,0.0337435063773073,0.99214,0.07890687596547108,0.9763
1_hidden_layer,[128],1,89250,38,0.03269160156646515,0.99254,0.07778399121157925,0.9765
1_hidden_layer,[128],1,89250,39,0.0313019639760524,0.99294,0.07742712491399352,0.9768
1_hidden_layer,[128],1,89250,40,0.03031407933601446,0.99318,0.07821879985172565,0.9763
1_hidden_layer,[128],1,89250,41,0.029266945416868143,0.99334,0.0763334275424591,0.9771
1_hidden_layer,[128],1,89250,42,0.027981344650724136,0.99418,0.07950827112817141,0.9774
1_hidden_layer,[128],1,89250,43,0.02719845997399204,0.99424,0.0760825981527728,0.9767
1_hidden_layer,[128],1,89250,44,0.026080673661673104,0.99448,0.0759905510422191,0.9765
1_hidden_layer,[128],1,89250,45,0.02520099334073233,0.995,0.07780032167268007,0.9768
1_hidden_layer,[128],1,89250,46,0.024268032517885202,0.99532,0.07622203198997254,0.9773
1_hidden_layer,[128],1,89250,47,0.023492881510417674,0.9956,0.07857772899289102,0.9762
1_hidden_layer,[128],1,89250,48,0.022842700255009955,0.99566,0.07544578374389742,0.9765
1_hidden_layer,[128],1,89250,49,0.02207716815764471,0.9959,0.07518046233732356,0.9768
1_hidden_layer,[128],1,89250,50,0.021368938802186023,0.99622,0.07619013971063118,0.9767
1_hidden_layer,[128],1,89250,51,0.02066888209543857,0.99644,0.07672433961887914,0.9775
1_hidden_layer,[128],1,89250,52,0.019871710267105352,0.99668,0.0753927429785327,0.9774
1_hidden_layer,[128],1,89250,53,0.019115655599701572,0.99692,0.07730353401045222,0.9768
1_hidden_layer,[128],1,89250,54,0.01859365797087866,0.99722,0.0766188507929369,0.9767
1_hidden_layer,[128],1,89250,55,0.01808444536089217,0.99738,0.07510851110399475,0.9779
1_hidden_layer,[128],1,89250,56,0.017417711827892764,0.99772,0.07603427900979273,0.9782
1_hidden_layer,[128],1,89250,57,0.016977602640790308,0.99758,0.07455717212431837,0.9776
1_hidden_layer,[128],1,89250,58,0.016459270013822577,0.99778,0.0762709822267412,0.9772
1_hidden_layer,[128],1,89250,59,0.01583702034854655,0.99816,0.0747466530401951,0.9779
1_hidden_layer,[128],1,89250,60,0.015399950213513059,0.9983,0.07513680388945979,0.9778
1_hidden_layer,[128],1,89250,61,0.014999437981520475,0.99822,0.07468097430883057,0.9781
1_hidden_layer,[128],1,89250,62,0.01464415009772958,0.99834,0.07433705874577712,0.978
1_hidden_layer,[128],1,89250,63,0.014134834559581646,0.99848,0.07430531599613936,0.9779
1_hidden_layer,[128],1,89250,64,0.01383245370741638,0.99858,0.07646876980420507,0.9775
1_hidden_layer,[128],1,89250,65,0.013431219579585926,0.99868,0.07526741398670984,0.9784
1_hidden_layer,[128],1,89250,66,0.013011731153827458,0.9989,0.07615189961350158,0.9779
1_hidden_layer,[128],1,89250,67,0.012624048538760499,0.99874,0.07642569059115929,0.9779
1_hidden_layer,[128],1,89250,68,0.012309603307112425,0.99888,0.07520565346046101,0.9786
1_hidden_layer,[128],1,89250,69,0.012028101108705077,0.99888,0.07703427841409023,0.9777
1_hidden_layer,[128],1,89250,70,0.011630682240968733,0.99902,0.07720736066550067,0.9773
1_hidden_layer,[128],1,89250,71,0.011328258112187892,0.99914,0.07610332778980955,0.9783
1_hidden_layer,[128],1,89250,72,0.01104321399301206,0.99914,0.0765662771991331,0.978
1_hidden_layer,[128],1,89250,73,0.010745211873377765,0.99924,0.07717875856762994,0.9776
1_hidden_layer,[128],1,89250,74,0.010533850857746004,0.99914,0.07645790378791309,0.9777
1_hidden_layer,[128],1,89250,75,0.01018338052617191,0.99928,0.07742967187406499,0.9781
1_hidden_layer,[128],1,89250,76,0.00989569749148845,0.99924,0.07692253869970234,0.9777
1_hidden_layer,[128],1,89250,77,0.009770160867510102,0.99934,0.0767943578400069,0.9782
1_hidden_layer,[128],1,89250,78,0.00942409162509027,0.99932,0.0769488683309388,0.9784
1_hidden_layer,[128],1,89250,79,0.009222964700846579,0.9993,0.07734797574451438,0.9779
1_hidden_layer,[128],1,89250,80,0.008982879471407395,0.99932,0.07754599005508486,0.9777
1_hidden_layer,[128],1,89250,81,0.008789397577102962,0.99946,0.07693917963739813,0.9779
1_hidden_layer,[128],1,89250,82,0.008577101371116155,0.99942,0.07749528559946638,0.978
1_hidden_layer,[128],1,89250,83,0.008420357196771958,0.9994,0.07835848737794468,0.9776
1_hidden_layer,[128],1,89250,84,0.008220523510888556,0.99944,0.07802003687350108,0.9785
1_hidden_layer,[128],1,89250,85,0.007999613817694769,0.99948,0.07781860949029153,0.9783
1_hidden_layer,[128],1,89250,86,0.007823546737212465,0.9995,0.0782758854172338,0.9786
1_hidden_layer,[128],1,89250,87,0.00763151294212204,0.99952,0.0794208955213987,0.9772
1_hidden_layer,[128],1,89250,88,0.0074700526196657905,0.99954,0.0791609481547531,0.9782
1_hidden_layer,[128],1,89250,89,0.007316089568230007,0.99958,0.07827265523258138,0.9785
1_hidden_layer,[128],1,89250,90,0.0071418804216335915,0.99964,0.07855497999578578,0.9783
1_hidden_layer,[128],1,89250,91,0.0069558326051317515,0.99966,0.07895302695218312,0.9788
1_hidden_layer,[128],1,89250,92,0.00682912395030367,0.9997,0.07841998295444508,0.9776
1_hidden_layer,[128],1,89250,93,0.00667656437956352,0.99966,0.07901495619952412,0.978
1_hidden_layer,[128],1,89250,94,0.006533043585099795,0.99964,0.07865610784473419,0.9782
1_hidden_layer,[128],1,89250,95,0.006421424691900325,0.99972,0.07955364351203689,0.9784
1_hidden_layer,[128],1,89250,96,0.006286003299378837,0.99978,0.08051539409959364,0.9781
1_hidden_layer,[128],1,89250,97,0.0061720191479012485,0.9997,0.07939727743294357,0.9782
1_hidden_layer,[128],1,89250,98,0.006004124341118799,0.99974,0.07971627588931122,0.9787
1_hidden_layer,[128],1,89250,99,0.005935673004280498,0.99978,0.08037580167529924,0.9783
1_hidden_layer,[128],1,89250,100,0.005794555689683456,0.9998,0.08046609543160937,0.9787
1_hidden_layer,[128],1,773955,1,0.8355088292220624,0.78054,0.37394402839862173,0.8959
1_hidden_layer,[128],1,773955,2,0.33186116029478396,0.90584,0.30204744861046695,0.9124
1_hidden_layer,[128],1,773955,3,0.28150277781162314,0.91952,0.27182360294628904,0.919
1_hidden_layer,[128],1,773955,4,0.24309181911328143,0.93132,0.2336592621613981,0.9328
1_hidden_layer,[128],1,773955,5,0.21334623317501367,0.94018,0.20041160917108317,0.9448
1_hidden_layer,[128],1,773955,6,0.19011210441037554,0.94752,0.18428405038827939,0.9472
1_hidden_layer,[128],1,773955,7,0.17086679288893017,0.9524,0.1729282140883191,0.951
1_hidden_layer,[128],1,773955,8,0.15523521804772059,0.95634,0.1587827958438318,0.9551
1_hidden_layer,[128],1,773955,9,0.1419756743075677,0.96042,0.1481263456236045,0.9579
1_hidden_layer,[128],1,773955,10,0.130689519379051,0.9637,0.14338558095365392,0.9584
1_hidden_layer,[128],1,773955,11,0.12088617126942276,0.96648,0.13254440273784557,0.9614
1_hidden_layer,[128],1,773955,12,0.11207090991324481,0.96882,0.1265509944633443,0.963
1_hidden_layer,[128],1,773955,13,0.10422930859383714,0.97122,0.11992699528023941,0.9647
1_hidden_layer,[128],1,773955,14,0.09755340405591982,0.97364,0.11422475089050317,0.9663
1_hidden_layer,[128],1,773955,15,0.09168574825154657,0.97496,0.1099020425166522,0.968
1_hidden_layer,[128],1,773955,16,0.0863833191117758,0.97682,0.10745069244638117,0.9686
1_hidden_layer,[128],1,773955,17,0.08148754621221437,0.97804,0.10286950832781507,0.9708
1_hidden_layer,[128],1,773955,18,0.077097285856866,0.97918,0.10195377894836831,0.9712
1_hidden_layer,[128],1,773955,19,0.07330053421328865,0.98036,0.10024615489135251,0.9703
1_hidden_layer,[128],1,773955,20,0.06929519314205729,0.98106,0.09376685526484986,0.9729
1_hidden_layer,[128],1,773955,21,0.06614394052775942,0.98182,0.09688933172860684,0.9718
1_hidden_layer,[128],1,773955,22,0.06298424242668127,0.9832,0.09204165064715618,0.9738
1_hidden_layer,[128],1,773955,23,0.05999236412002107,0.98424,0.09093041064069478,0.9737
1_hidden_layer,[128],1,773955,24,0.05773965416129338,0.98438,0.08966166931773513,0.9727
1_hidden_layer,[128],1,773955,25,0.05524030185495426,0.98566,0.08860956131129509,0.974
1_hidden_layer,[128],1,773955,26,0.05289596876530919,0.98552,0.08698004831745905,0.974
1_hidden_layer,[128],1,773955,27,0.05065300392897746,0.98692,0.08526733877640133,0.9743
1_hidden_layer,[128],1,773955,28,0.048670514619436486,0.98736,0.08392627878306527,0.9747
1_hidden_layer,[128],1,773955,29,0.046529509643956454,0.98832,0.08558887289447194,0.9753
1_hidden_layer,[128],1,773955,30,0.04467381617427988,0.98868,0.08575372499890366,0.9752
1_hidden_layer,[128],1,773955,31,0.04307720390733,0.9893,0.08615554136889435,0.9741
1_hidden_layer,[128],1,773955,32,0.04149648131178892,0.9897,0.08286509211408268,0.9756
1_hidden_layer,[128],1,773955,33,0.039778345121319114,0.9901,0.07916959204928498,0.976
1_hidden_layer,[128],1,773955,34,0.03825595131108758,0.99062,0.08470238225525369,0.9741
1_hidden_layer,[128],1,773955,35,0.03700410485646153,0.99112,0.079048240585087,0.9757
1_hidden_layer,[128],1,773955,36,0.035448504218854926,0.99184,0.07958685639963362,0.9767
1_hidden_layer,[128],1,773955,37,0.03421329954169702,0.99164,0.08085181952470771,0.9755
1_hidden_layer,[128],1,773955,38,0.03289303797719622,0.99254,0.07789490318141673,0.9769
1_hidden_layer,[128],1,773955,39,0.03181473164474674,0.9924,0.07834632840179867,0.9755
1_hidden_layer,[128],1,773955,40,0.030519833535992615,0.99348,0.08081036790631316,0.9755
1_hidden_layer,[128],1,773955,41,0.029365618923171254,0.99374,0.07916125708581451,0.976
1_hidden_layer,[128],1,773955,42,0.028415012295413506,0.99406,0.07907130040056291,0.976
1_hidden_layer,[128],1,773955,43,0.02724481910290824,0.99442,0.07760938904237333,0.9772
1_hidden_layer,[128],1,773955,44,0.026286283582605305,0.99472,0.07736920090756085,0.9775
1_hidden_layer,[128],1,773955,45,0.025519816764114515,0.99498,0.07742435499180154,0.9767
1_hidden_layer,[128],1,773955,46,0.024543021410589668,0.99506,0.07768295862506336,0.9769
1_hidden_layer,[128],1,773955,47,0.0238346304775237,0.99528,0.07709942438366192,0.9772
1_hidden_layer,[128],1,773955,48,0.022842122349547214,0.99592,0.07687217597577752,0.9764
1_hidden_layer,[128],1,773955,49,0.022026942957078084,0.99604,0.07834260723240197,0.9762
1_hidden_layer,[128],1,773955,50,0.021374472253664054,0.99658,0.07715158035376636,0.9772
1_hidden_layer,[128],1,773955,51,0.020744739804279513,0.9966,0.07757157135237785,0.9771
1_hidden_layer,[128],1,773955,52,0.020165972017482145,0.99692,0.07757277063977303,0.9771
1_hidden_layer,[128],1,773955,53,0.01938602819218386,0.99694,0.07744826986241451,0.9772
1_hidden_layer,[128],1,773955,54,0.018778154269943892,0.99732,0.0768909475896774,0.978
1_hidden_layer,[128],1,773955,55,0.018241652537264313,0.99724,0.07798464102516478,0.9772
1_hidden_layer,[128],1,773955,56,0.017715513390260545,0.9974,0.07720463934238367,0.9775
1_hidden_layer,[128],1,773955,57,0.01718481700685652,0.99738,0.07765686048503652,0.9775
1_hidden_layer,[128],1,773955,58,0.01653601323049651,0.99784,0.07665101126965104,0.9778
1_hidden_layer,[128],1,773955,59,0.01596202755368568,0.99784,0.0768250026828401,0.9777
1_hidden_layer,[128],1,773955,60,0.015590884765809063,0.99778,0.07707844601059781,0.9779
1_hidden_layer,[128],1,773955,61,0.015117831465307483,0.9983,0.07796589229192151,0.9777
1_hidden_layer,[128],1,773955,62,0.014767571672411973,0.99826,0.07694556353386371,0.9778
1_hidden_layer,[128],1,773955,63,0.014160860134117754,0.99836,0.07816473396856756,0.9774
1_hidden_layer,[128],1,773955,64,0.013888283383933163,0.99842,0.07824908357799062,0.977
1_hidden_layer,[128],1,773955,65,0.013461199082503856,0.99864,0.0791411891325429,0.9779
1_hidden_layer,[128],1,773955,66,0.013130152774295085,0.99876,0.07911254415222764,0.9771
1_hidden_layer,[128],1,773955,67,0.01272485881474937,0.99872,0.07853242108248225,0.9772
1_hidden_layer,[128],1,773955,68,0.012364569946663653,0.99888,0.07898932839263775,0.9774
1_hidden_layer,[128],1,773955,69,0.012053248983826547,0.99898,0.07849518909016838,0.9785
1_hidden_layer,[128],1,773955,70,0.011683209339377143,0.99896,0.07871132318483033,0.9774
1_hidden_layer,[128],1,773955,71,0.011426800837350131,0.99912,0.0790025271733772,0.9776
1_hidden_layer,[128],1,773955,72,0.011126552733738498,0.99914,0.0784631940991281,0.978
1_hidden_layer,[128],1,773955,73,0.010783730252669156,0.9992,0.07907909508410979,0.9778
1_hidden_layer,[128],1,773955,74,0.010503319076567345,0.99916,0.07912039925768122,0.978
1_hidden_layer,[128],1,773955,75,0.010255772282634036,0.99924,0.07909061385763476,0.9776
1_hidden_layer,[128],1,773955,76,0.01001766209364017,0.99942,0.07824361541455717,0.9781
1_hidden_layer,[128],1,773955,77,0.009761458539652946,0.9993,0.07966793448853202,0.9777
1_hidden_layer,[128],1,773955,78,0.009521911144865532,0.99934,0.07994752603245216,0.9779
1_hidden_layer,[128],1,773955,79,0.009295161301844357,0.9994,0.08070435336222459,0.9775
1_hidden_layer,[128],1,773955,80,0.00910486603242509,0.99948,0.07932446689078794,0.9782
1_hidden_layer,[128],1,773955,81,0.008841887109502513,0.99946,0.08006435061054656,0.9778
1_hidden_layer,[128],1,773955,82,0.008723146783146733,0.9995,0.07978466380061193,0.9779
1_hidden_layer,[128],1,773955,83,0.008470727861230655,0.99956,0.07994538138583054,0.9777
1_hidden_layer,[128],1,773955,84,0.008261439232729264,0.9996,0.0816407628766154,0.9771
1_hidden_layer,[128],1,773955,85,0.008058307445535266,0.99954,0.08017881600245483,0.9777
1_hidden_layer,[128],1,773955,86,0.007890692659206147,0.99964,0.08111728457761341,0.9775
1_hidden_layer,[128],1,773955,87,0.00770436281517463,0.99958,0.08167103276995744,0.9777
1_hidden_layer,[128],1,773955,88,0.0075236313739168404,0.99958,0.08130796318381059,0.9775
1_hidden_layer,[128],1,773955,89,0.00731390484996896,0.99966,0.08115564939601602,0.9782
1_hidden_layer,[128],1,773955,90,0.007157549531298731,0.99962,0.08092167243802899,0.978
1_hidden_layer,[128],1,773955,91,0.007024108006683692,0.99962,0.0820127810869378,0.9779
1_hidden_layer,[128],1,773955,92,0.00687996043123124,0.99968,0.0817143334023355,0.9773
1_hidden_layer,[128],1,773955,93,0.006735050543075417,0.99974,0.0823824639288971,0.9778
1_hidden_layer,[128],1,773955,94,0.006609908184540785,0.9997,0.08167605282640127,0.9777
1_hidden_layer,[128],1,773955,95,0.006455163473035831,0.99972,0.08169285576134491,0.9782
1_hidden_layer,[128],1,773955,96,0.006327817922272726,0.99974,0.08200642755951798,0.9778
