architecture,number_of_hidden_layers,parameter_count,train_loss_mean,train_loss_std,train_accuracy_mean,train_accuracy_std,val_loss_mean,val_loss_std,val_accuracy_mean,val_accuracy_std,generalization_gap_mean,generalization_gap_std,training_seconds_mean,training_seconds_std
1_hidden_layer,1,101770,0.00539434116684049,0.00026201022778037596,0.9998533333333333,6.429100507330174e-05,0.08079747468214672,0.001622260158243411,0.9781,0.0005196152422706701,0.02175333333333333,0.0005832095106677708,24.88445106966598,1.2014456462529892
2_hidden_layers,2,118282,0.0005862472499590746,1.258250767162341e-05,1.0,0.0,0.10706125241410332,0.003660331216059438,0.9789333333333333,0.0013650396819628937,0.021066666666666678,0.0013650396819629253,36.19917770833248,1.6882876331475989
3_hidden_layers,3,134794,0.00012944294171556524,4.151406027145794e-06,1.0,0.0,0.18254021905045895,0.008237413741783713,0.9723666666666667,0.001457166199626289,0.027633333333333326,0.001457166199626299,40.97725513899968,3.688528965826804
