condition,number_of_results,accuracy_mean,accuracy_std,loss_mean,loss_std
Individual Models,3,0.9794666666666667,0.0005507570547286067,0.0742581185709784,0.001683554045433065
Two-Model Ensembles,3,0.9796333333333335,0.00020816659994659034,0.06731484073275273,0.0007555330900003779
Three-Model Ensemble,1,0.98,0.0,0.06500892704985617,0.0
