model_type,model_name,ensemble_size,members,loss,accuracy,constituent_accuracy_mean,constituent_loss_mean,accuracy_improvement,loss_reduction
individual,654571,1,654571,0.07256912987299044,0.98,,,,
individual,89250,1,89250,0.07593618481695892,0.9795,,,,
individual,773955,1,773955,0.07426904102298583,0.9789,,,,
two_model_ensemble,654571 + 89250,2,654571 + 89250,0.0675881937115228,0.9797,0.97975,0.07425265734497469,-4.999999999999449e-05,0.006664463633451884
two_model_ensemble,654571 + 773955,2,654571 + 773955,0.0664606763606591,0.9798,0.9794499999999999,0.07341908544798814,0.0003500000000000725,0.0069584090873290455
two_model_ensemble,89250 + 773955,2,89250 + 773955,0.06789565212607629,0.9794,0.9792000000000001,0.07510261291997238,0.00019999999999997797,0.007206960793896086
three_model_ensemble,All three seeds,3,"654571, 89250, 773955",0.06500892704985617,0.98,0.9794666666666667,0.0742581185709784,0.0005333333333332746,0.009249191521122233
