initialization,seed,initial_loss,W1_norm,W2_norm,Z1_mean,Z1_std,A1_mean,A1_std,logits_mean,logits_std,zero_activation_fraction,dW1_norm,db1_norm,dW2_norm,db2_norm,dW1_rms,dW2_rms
zero,654571,2.3025850929940463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.4920466988031937e-15,0.0,0.0
zero,89250,2.3025850929940463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.4920466988031937e-15,0.0,0.0
zero,773955,2.3025850929940463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.4920466988031937e-15,0.0,0.0
small,654571,2.302084199718719,3.166724379799719,0.36104341901042847,0.0035354198885158743,0.0924379732618761,0.0383447381362521,0.05529934767341297,0.002661400127923056,0.008075294018288066,0.4820390625,0.0791322490757363,0.00586085895592235,0.07104069108147165,0.0018704190643431618,0.00024979888362498234,0.0019856476803341706
small,89250,2.3023543306276206,3.1772910738362627,0.36405902631478,-0.006213672172663391,0.08918829208934351,0.03224979622795711,0.049777110345812975,0.0006383386926371236,0.0056764108684973945,0.527078125,0.07564344081114972,0.006095282100365256,0.0612770766845855,0.0010052651787263822,0.00023878566941896073,0.0017127463616150077
small,773955,2.301544872328537,3.1658801854374783,0.36578108703487383,0.003643996905447658,0.09520218718848017,0.03921788004321867,0.055796524894026304,0.002221663116240394,0.008865963737365694,0.476171875,0.08168010892920038,0.005665480398494783,0.06999047933062527,0.002224596271798914,0.0002578417808566672,0.001956293369513401
xavier,654571,2.31768841020292,11.309729927856134,3.1912031235631257,0.012626499601842409,0.3301356187924146,0.1369454933437575,0.19749767026218917,0.08401312847790793,0.2549149625181542,0.4820390625,0.722044872987255,0.06116235260841905,0.27708001641636565,0.0635524036665969,0.002279298330402979,0.00774462189892189
xavier,89250,2.309421887243842,11.347468120843796,3.2178575782419085,-0.022191686330940683,0.31852961460479823,0.11517784367127537,0.1777753940921892,0.02015060795792256,0.1791887775855146,0.527078125,0.6815671759892474,0.055507045073431224,0.22618427453478585,0.030977338271314037,0.0021515213034650083,0.006322042666265697
xavier,773955,2.305038887359431,11.306714947990994,3.2330785884018254,0.013014274662313063,0.34000781138742914,0.14006385729720955,0.19927330319295103,0.0701318328127509,0.279874244662737,0.476171875,0.7748624911067434,0.07071756152604304,0.28763847386473335,0.06777996955957477,0.0024460291158423177,0.008039739756323005
he,654571,2.4004907888975486,15.99437345075103,4.513042737630356,0.017856566982224018,0.4668822695186668,0.1936701739926163,0.27930388382187743,0.16802625695581588,0.5098299250363084,0.4820390625,1.2205759133873169,0.1334604623352561,0.5314477979896728,0.13690443829990778,0.003853024577272928,0.014854417534968554
he,89250,2.3446157989161147,16.047743315093637,4.55073782893475,-0.03138378378114594,0.4504689009915807,0.16288606860480576,0.25141237338139577,0.040301215915845116,0.3583775551710292,0.527078125,1.00605942364648,0.08744971940956431,0.3464055740185991,0.0601964768749011,0.0031758546461475696,0.009682330141130282
he,773955,2.375978786540035,15.990109625335467,4.572263587935923,0.018404963731891665,0.4808436581768955,0.19808020658800352,0.28181500799435716,0.14026366562550174,0.559748489325474,0.476171875,1.2979687510034286,0.15196749932510215,0.528829685695793,0.13260004352567117,0.004097332614298026,0.014781239071695517
large,654571,137.90075100864217,316.67243797997196,36.10434190104285,0.35354198885158733,9.24379732618761,3.834473813625211,5.529934767341297,26.614001279230557,80.75294018288064,0.4820390625,29.51278784012041,4.401517486148278,38.03741000576433,0.6374095835360288,0.09316380541727243,1.0631779307614964
large,89250,82.02490791386951,317.72910738362634,36.405902631478,-0.621367217266339,8.918829208934351,3.2249796227957104,4.977711034581298,6.383386926371234,56.76410868497395,0.527078125,14.454754084616328,1.905812819281165,16.03578381504875,0.29732237160417796,0.04562970818578639,0.44821378353674896
large,773955,125.72380247627153,316.58801854374775,36.57810870348738,0.3643996905447658,9.520218718848016,3.9217880043218676,5.579652489402629,22.216631162403942,88.65963737365693,0.476171875,26.729068146731272,4.255197233378374,32.91382773890336,0.563482258190827,0.08437636313103138,0.9199694527988262
