initialization,seed,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,dW1_rms,dW2_rms
zero,654571,1,2.3015139389936414,0.11254,2.3017844562524554,0.1093,0.0,0.0
zero,654571,2,2.3012776278724223,0.11298,2.3017653029652445,0.1093,0.0,0.0
zero,654571,3,2.301262737892459,0.11298,2.3018227693850744,0.1093,0.0,0.0
zero,654571,4,2.3012968121185495,0.11298,2.3018377822887364,0.1093,0.0,0.0
zero,654571,5,2.3012973067238525,0.11298,2.301767179168278,0.1093,0.0,0.0
zero,654571,6,2.3013142930649058,0.11298,2.3017597233210707,0.1093,0.0,0.0
zero,654571,7,2.3012880377766836,0.11298,2.302019115814138,0.1093,0.0,0.0
zero,654571,8,2.3012848949413978,0.11298,2.301720407922602,0.1093,0.0,0.0
zero,654571,9,2.301285757643381,0.11298,2.301820712051093,0.1093,0.0,0.0
zero,654571,10,2.3012666666722814,0.11298,2.301812432915448,0.1093,0.0,0.0
zero,654571,11,2.301296729330409,0.11298,2.3017673530991125,0.1093,0.0,0.0
zero,654571,12,2.301287964672904,0.11298,2.3019687386660497,0.1093,0.0,0.0
zero,654571,13,2.3013284647339334,0.11298,2.301728396974721,0.1093,0.0,0.0
zero,654571,14,2.3012577137715673,0.11298,2.30176154054799,0.1093,0.0,0.0
zero,654571,15,2.3013034388395557,0.11298,2.3018219628676135,0.1093,0.0,0.0
zero,654571,16,2.3013180517861462,0.11298,2.3018571172498072,0.1093,0.0,0.0
zero,654571,17,2.301288484131505,0.11298,2.3018520138448846,0.1093,0.0,0.0
zero,654571,18,2.301272178090174,0.11298,2.3017391956573974,0.1093,0.0,0.0
zero,654571,19,2.3013133416130267,0.11298,2.301781519420693,0.1093,0.0,0.0
zero,654571,20,2.30123567338226,0.11298,2.30182201768391,0.1093,0.0,0.0
zero,654571,21,2.301273512793334,0.11298,2.301696029533198,0.1093,0.0,0.0
zero,654571,22,2.3012649140666954,0.11298,2.30193441983789,0.1093,0.0,0.0
zero,654571,23,2.30130769793865,0.11298,2.301821278054324,0.1093,0.0,0.0
zero,654571,24,2.3013225171527147,0.11298,2.3018178341758135,0.1093,0.0,0.0
zero,654571,25,2.3012748100625497,0.11298,2.3018441686937536,0.1093,0.0,0.0
zero,654571,26,2.301270748426722,0.11298,2.3019055741181327,0.1093,0.0,0.0
zero,654571,27,2.3013028699185156,0.11298,2.3017184590784048,0.1093,0.0,0.0
zero,654571,28,2.3012763795745075,0.11298,2.3018983119773324,0.1093,0.0,0.0
zero,654571,29,2.301302801415131,0.11298,2.3018978070039937,0.1093,0.0,0.0
zero,654571,30,2.3013194452204866,0.11298,2.301755809372714,0.1093,0.0,0.0
zero,654571,31,2.3013156639882513,0.11298,2.301742593205266,0.1093,0.0,0.0
zero,654571,32,2.3013319758902515,0.11298,2.301737160016983,0.1093,0.0,0.0
zero,654571,33,2.3013233233170047,0.11298,2.301832970594171,0.1093,0.0,0.0
zero,654571,34,2.3012216462338717,0.11298,2.302065186921302,0.1093,0.0,0.0
zero,654571,35,2.3012811104221083,0.11298,2.3018957916087937,0.1093,0.0,0.0
zero,654571,36,2.3013234344216817,0.11298,2.3018045587691764,0.1093,0.0,0.0
zero,654571,37,2.301310800797343,0.11298,2.3018238811562117,0.1093,0.0,0.0
zero,654571,38,2.30129674179323,0.11298,2.3019387904421302,0.1093,0.0,0.0
zero,654571,39,2.301316365751007,0.11298,2.3018693892463133,0.1093,0.0,0.0
zero,654571,40,2.301257123405217,0.11298,2.301751134163407,0.1093,0.0,0.0
zero,654571,41,2.3012920701983264,0.11298,2.301777133550445,0.1093,0.0,0.0
zero,654571,42,2.301273556075504,0.11298,2.3019550313940997,0.1093,0.0,0.0
zero,654571,43,2.301319100087591,0.11298,2.301812447629827,0.1093,0.0,0.0
zero,654571,44,2.30129709414163,0.11298,2.301936290834508,0.1093,0.0,0.0
zero,654571,45,2.3013160608564127,0.11298,2.3016656712979837,0.1093,0.0,0.0
zero,654571,46,2.3013319431503763,0.11298,2.3017372865743755,0.1093,0.0,0.0
zero,654571,47,2.301261928839762,0.11298,2.3020808881542307,0.1093,0.0,0.0
zero,654571,48,2.301310530350236,0.11298,2.3018289373829868,0.1093,0.0,0.0
zero,654571,49,2.3013261026570153,0.11298,2.301845702656942,0.1093,0.0,0.0
zero,654571,50,2.3012606469991805,0.11298,2.3019149120613216,0.1093,0.0,0.0
zero,654571,51,2.3013535490138044,0.11298,2.301763183835266,0.1093,0.0,0.0
zero,654571,52,2.3013031734988716,0.11298,2.3017799554973477,0.1093,0.0,0.0
zero,654571,53,2.30133576458389,0.11298,2.301737549662438,0.1093,0.0,0.0
zero,654571,54,2.301298797881675,0.11298,2.3018565821964287,0.1093,0.0,0.0
zero,654571,55,2.301259791819181,0.11298,2.3018659966182335,0.1093,0.0,0.0
zero,654571,56,2.301297978517739,0.11298,2.3018795553960496,0.1093,0.0,0.0
zero,654571,57,2.3012612019918883,0.11298,2.3017403064410744,0.1093,0.0,0.0
zero,654571,58,2.3013256280034717,0.11298,2.3019285209607725,0.1093,0.0,0.0
zero,654571,59,2.3013094630364606,0.11298,2.301894163631983,0.1093,0.0,0.0
zero,654571,60,2.3012850074348883,0.11298,2.301754681355102,0.1093,0.0,0.0
zero,654571,61,2.3013367585256606,0.11298,2.3016905151365155,0.1093,0.0,0.0
zero,654571,62,2.3012468091484886,0.11298,2.3018771573101207,0.1093,0.0,0.0
zero,654571,63,2.3013007557626977,0.11298,2.3017727927105547,0.1093,0.0,0.0
zero,654571,64,2.3012896530526366,0.11284,2.3019307570239587,0.1093,0.0,0.0
zero,654571,65,2.30127963643539,0.11298,2.3017215156519626,0.1093,0.0,0.0
zero,654571,66,2.3012815490265885,0.11298,2.3017465550498284,0.1093,0.0,0.0
zero,654571,67,2.3012742564470665,0.11298,2.3018457896282696,0.1093,0.0,0.0
zero,654571,68,2.301262801665772,0.11298,2.3018624266909287,0.1093,0.0,0.0
zero,654571,69,2.3012710378200087,0.11298,2.3019283920299407,0.1093,0.0,0.0
zero,654571,70,2.3012971798487674,0.11298,2.3017845974467104,0.1093,0.0,0.0
zero,654571,71,2.3012915110554766,0.11298,2.3017787654691984,0.1093,0.0,0.0
zero,654571,72,2.301295264251711,0.11298,2.3016444813267727,0.1093,0.0,0.0
zero,654571,73,2.3012808895313723,0.11298,2.3018557843394403,0.1093,0.0,0.0
zero,654571,74,2.3013026654825697,0.11298,2.3017934056345504,0.1093,0.0,0.0
zero,654571,75,2.3012848122278298,0.11298,2.3018410260589968,0.1093,0.0,0.0
zero,654571,76,2.3013341883657974,0.11298,2.301729270176446,0.1093,0.0,0.0
zero,654571,77,2.301269056805476,0.11298,2.3017306273007163,0.1093,0.0,0.0
zero,654571,78,2.3013053885711594,0.11298,2.301712711755727,0.1093,0.0,0.0
zero,654571,79,2.3012586224582496,0.11298,2.301896239396519,0.1093,0.0,0.0
zero,654571,80,2.3012264212085887,0.11298,2.302108608432267,0.1093,0.0,0.0
zero,654571,81,2.301314796160793,0.11298,2.3017131007488434,0.1093,0.0,0.0
zero,654571,82,2.3013061446825573,0.11298,2.3016779589546177,0.1093,0.0,0.0
zero,654571,83,2.301317109875483,0.11298,2.3018751253048655,0.1093,0.0,0.0
zero,654571,84,2.3013215113074383,0.11298,2.301698711780252,0.1093,0.0,0.0
