Class,Mean Initial Probability
0,0.09771943838898728
1,0.11695068017953933
2,0.04312259502311408
3,0.0905524552280565
4,0.05637976324574836
5,0.16336201038599166
6,0.0855456133758364
7,0.11870107807445889
8,0.0999138270717619
9,0.1277525390265055
