Gradient,Shape,Manual NumPy Norm,PyTorch Autograd Norm,Difference Norm,Maximum Absolute Difference,Relative Error,Threshold,Finite,Status
dW1,"(3, 4)",0.9100305855876247,0.9100305855876246,1.5670228712733345e-16,1.1102230246251565e-16,1.5670228712733345e-16,1e-10,True,PASS
db1,"(3,)",0.5573669487257653,0.5573669487257653,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,1e-10,True,PASS
dW2,"(2, 3)",1.5027426680574452,1.5027426680574452,1.3597399555105182e-16,1.1102230246251565e-16,9.048388552567136e-17,1e-10,True,PASS
db2,"(2,)",0.7333220583560255,0.7333220583560254,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1e-10,True,PASS
