Check,Measured Value,Expected Value,Status
NumPy and PyTorch forward values,True,True,PASS
NumPy and PyTorch losses,0.0,Absolute difference <= 1e-12,PASS
All manual/autograd gradients,1.5670228712733345e-16,Relative error < 1e-10,PASS
