Quantity,Shape,Data Type,Minimum,Maximum,Mean,Standard Deviation,All Finite
X,"(32, 784)",float64,0.0,1.0,0.12807794992997198,0.3061539263312796,True
Z1,"(32, 128)",float64,-2.010710045438641,1.7974764300737256,-0.025534841679985053,0.4939480799844158,True
A1,"(32, 128)",float64,0.0,1.7974764300737256,0.18171247140562638,0.2872584654755293,True
logits,"(32, 10)",float64,-1.6615710271664013,1.4835530255623106,0.16868893093306725,0.4942335679583346,True
probabilities,"(32, 10)",float64,0.01458017006185161,0.31230996510328224,0.1,0.045087569601834195,True
