Gradient,Parameter,Gradient Shape,Parameter Shape,Number of Elements,L2 Norm,RMS Gradient,Maximum Absolute Value,All Values Finite,Norm Nonzero,Shape Matches Parameter,Status
dW1,W1,"(128, 784)","(128, 784)",100352,1.5844766211671173,0.00500175965829829,0.05816209537142225,True,True,True,PASS
db1,b1,"(128,)","(128,)",128,0.1895341761352385,0.016752612651479083,0.05767815133633787,True,True,True,PASS
dW2,W2,"(10, 128)","(10, 128)",1280,0.6977199778740522,0.01950186624732537,0.13116434568447732,True,True,True,PASS
db2,b2,"(10,)","(10,)",10,0.18912858434359797,0.05980770971690309,0.11991680769868755,True,True,True,PASS
