step,loss,accuracy,global_gradient_norm
0,2.371450052162514,0.05,2.221600273826683
1,1.3369778466253326,0.6,1.7946624080332663
2,0.8704971181135998,0.85,1.8002880041147657
3,0.6951492859795639,0.9,1.5282913435624312
4,0.299155487467356,1.0,0.8498126672789406
5,0.17625974719751997,1.0,0.5106010273956488
6,0.1104480943485235,1.0,0.2739956012546121
7,0.08197192062274862,1.0,0.18858555813951364
8,0.0663152667504285,1.0,0.15464981702850664
9,0.05580095947227609,1.0,0.13211059086079402
10,0.04794315108819586,1.0,0.11497308956227774
11,0.0420221167121183,1.0,0.10187983366155326
12,0.03727828158004147,1.0,0.09183484627642965
13,0.033538936372506364,1.0,0.0831195419607891
14,0.030355672410573777,1.0,0.07553520526108436
15,0.02776174252813432,1.0,0.07023224233011259
16,0.025525021299994743,1.0,0.0646944903108111
17,0.02362173266296636,1.0,0.06000116985364201
18,0.021949530202411426,1.0,0.056086158988837044
19,0.020510284588723955,1.0,0.05301587906901515
20,0.0192396271207767,1.0,0.049847058941267654
21,0.018103308740516105,1.0,0.04679466376435613
22,0.0170832977042863,1.0,0.044403874911974395
23,0.016173384528059484,1.0,0.04210179001862992
24,0.015353570507932745,1.0,0.04022110790746774
25,0.01460707698004606,1.0,0.03853842104993452
26,0.01393006226474917,1.0,0.036899673556470766
27,0.013305602737215006,1.0,0.03506932052290438
28,0.012729993339588946,1.0,0.033865971154602506
29,0.012203896126342036,1.0,0.03242822059375005
30,0.011711267824269686,1.0,0.03119817837477591
31,0.011262962213738122,1.0,0.030265473176554928
32,0.01084128349732931,1.0,0.029141732678334486
33,0.010447753077918972,1.0,0.028063486136820505
34,0.010080552930198121,1.0,0.027410336419714777
35,0.009739891541028617,1.0,0.026370556111711366
36,0.00941621373681884,1.0,0.02553026013819777
37,0.00911188174742047,1.0,0.024828404535343553
38,0.00882901358637778,1.0,0.02419650476745729
39,0.00855952643268007,1.0,0.023272050519157737
40,0.008304172999502035,1.0,0.022841882123420247
41,0.00806541331573148,1.0,0.02218485040872151
42,0.007836387979939807,1.0,0.021593996383235503
43,0.007620517365599595,1.0,0.02095485279780314
44,0.007415427660174388,1.0,0.020434645391237512
45,0.007220931945625275,1.0,0.02002049789573882
46,0.007035637531468802,1.0,0.01947188587441527
47,0.006858007502347852,1.0,0.019021258268515685
48,0.006690961654169993,1.0,0.01867548718128291
49,0.006529295734915836,1.0,0.018198837770058148
50,0.006375910023749017,1.0,0.01770027966635087
51,0.006227370208001154,1.0,0.01744593618986046
52,0.006087505892402279,1.0,0.01707978331766751
53,0.005952165832848281,1.0,0.016788296782873177
54,0.00582224785009778,1.0,0.016258682790986037
55,0.005697205921012684,1.0,0.015980045202468953
56,0.00557794123120291,1.0,0.01573333635895618
57,0.005463463681245187,1.0,0.015420483008513043
58,0.005353083392431788,1.0,0.015091290961805828
59,0.0052469622597798435,1.0,0.014889415903723627
60,0.005144450496036129,1.0,0.014622729195839068
61,0.005046198566980627,1.0,0.01426312460464697
62,0.0049501628326695,1.0,0.014002578506141568
63,0.004858927588630108,1.0,0.013822732955778181
64,0.004770542733256987,1.0,0.01362486065585831
65,0.0046844245348930235,1.0,0.013321581789505573
66,0.00460193362155685,1.0,0.0132118473490132
67,0.004521580674000063,1.0,0.01281628978755033
68,0.004443820453608977,1.0,0.012663571777233379
69,0.004368887830803391,1.0,0.012553780551402872
70,0.004296451257115837,1.0,0.012330285562702823
71,0.004226160542008348,1.0,0.012138700007540039
72,0.004158088051351585,1.0,0.011887624995566589
73,0.004091472288366237,1.0,0.011793334840786103
74,0.004027614765788986,1.0,0.011554566827122015
75,0.003964801302233117,1.0,0.011456172555091224
76,0.0039046203754616823,1.0,0.011147382783524234
77,0.0038451745698728267,1.0,0.01107674816868695
78,0.0037884197626927357,1.0,0.010908205072131803
79,0.003732674575459978,1.0,0.010760756665545297
80,0.003678860027101201,1.0,0.010634168539605438
81,0.0036260730417666475,1.0,0.010425513038795436
82,0.0035750762067474663,1.0,0.010361810319429125
83,0.0035254348233128446,1.0,0.010228990610378663
84,0.00347681391286441,1.0,0.010027686153537396
85,0.0034293110529289204,1.0,0.009902744560100428
86,0.003383455772343205,1.0,0.009868346557060589
87,0.0033389176436083084,1.0,0.009703547219057944
88,0.0032946450046830783,1.0,0.009680829679114792
89,0.003252103268096971,1.0,0.00949618710011703
90,0.003209998428633242,1.0,0.00933849320040839
91,0.003168934511510321,1.0,0.009260400223041015
92,0.0031290727783255348,1.0,0.009084846945689982
93,0.003089878012441237,1.0,0.009048263981407553
94,0.0030521001181000188,1.0,0.008966121977367165
95,0.0030147644372402835,1.0,0.00882976083859982
96,0.0029783728331791996,1.0,0.008754299707537164
97,0.0029428962017485068,1.0,0.00864659200554584
98,0.002908150041870953,1.0,0.008495139409120746
99,0.002874146310331641,1.0,0.008424162702372463
100,0.0028411786033621295,1.0,0.00836539095855087
101,0.0028085592406172917,1.0,0.008277003923860294
102,0.0027768077775725186,1.0,0.00821529238940417
103,0.00274568161944279,1.0,0.008078392404195618
104,0.00271525817350419,1.0,0.00798094366587077
105,0.0026853304143832947,1.0,0.00792085150551253
106,0.0026562066982897224,1.0,0.00782724650292623
107,0.002627592140046613,1.0,0.007751078503923982
108,0.0025996369662125646,1.0,0.0077371535955239115
109,0.0025721369665595894,1.0,0.007592262277098944
110,0.0025451609292976483,1.0,0.007551866017741142
111,0.0025188986463758464,1.0,0.0074492903486774635
112,0.002492899668781108,1.0,0.007350137495803956
113,0.0024675975592613145,1.0,0.007333249079382837
114,0.0024426556951104568,1.0,0.007253751297260906
115,0.002418317745160083,1.0,0.007169248922090899
116,0.0023942863693487094,1.0,0.0070820913781893405
117,0.002370870144788212,1.0,0.007077999494001894
118,0.0023477498705898547,1.0,0.006955398157378758
119,0.002325085964078271,1.0,0.006917474088787673
120,0.0023028935434110456,1.0,0.006854130937363374
121,0.0022809658647363956,1.0,0.006757131518206092
122,0.0022594466189921336,1.0,0.006728039743126119
123,0.0022384871155635556,1.0,0.006651913965347567
124,0.0022177734758572175,1.0,0.006629265009817894
125,0.00219748749766876,1.0,0.006535808316537614
126,0.0021774757906230188,1.0,0.0065437070106895605
127,0.0021578970124119185,1.0,0.0064861247476305
128,0.0021385054965940946,1.0,0.0063922529431342376
129,0.002119369355813754,1.0,0.0063145367480143995
130,0.0021007291196098454,1.0,0.006262988443558439
