Parameter,Shape,Parameter Size,Analytic Norm,Numerical Norm,Difference Norm,Maximum Absolute Difference,Relative Error,Threshold,Status
W1,"(3, 4)",12,0.9100305855876247,0.9100305855962643,2.3841059346017818e-11,1.4655048008460625e-11,2.3841059346017818e-11,1e-06,PASS
b1,"(3,)",3,0.5573669487257653,0.5573669487237777,9.706155334704516e-12,7.252087819153985e-12,9.706155334704516e-12,1e-06,PASS
W2,"(2, 3)",6,1.5027426680574452,1.5027426680351357,2.3454681335005464e-11,1.3284928712664623e-11,1.5607916001563126e-11,1e-06,PASS
b2,"(2,)",2,0.7333220583560255,0.7333220583446445,1.1380972196015212e-11,8.04756261629791e-12,1.1380972196015212e-11,1e-06,PASS
