activation,epoch,train_loss_mean,train_loss_std,train_accuracy_mean,train_accuracy_std,val_loss_mean,val_loss_std,val_accuracy_mean,val_accuracy_std
relu,1,0.8451717493803326,0.0037356144359816366,0.7783733333333333,0.0068883766834670675,0.3774173382367174,0.006141465001874987,0.8923666666666666,0.0031021497922140147
relu,2,0.3335650480754962,0.001045479816289902,0.9045533333333333,0.00021385353243126231,0.3024527380972814,0.00859901894325589,0.9109999999999999,0.004073082370883262
relu,3,0.27953942685133765,0.0023322640687086114,0.9203266666666666,0.0008518998376178368,0.26328603832545566,0.010850739961587261,0.9235333333333333,0.005158811232574178
relu,4,0.24218124651372877,0.0020923837496890853,0.9317266666666667,0.0007381959992667036,0.23202352952705266,0.0025366135372422703,0.9331333333333333,0.000709459888459785
relu,5,0.21339494526312427,0.002296010484878097,0.94014,0.00045077710678341547,0.20425090713845262,0.002290591201719541,0.9413333333333332,0.0008504900548115283
relu,6,0.19073374879810642,0.0029804780776896095,0.9466800000000001,0.0008715503427800441,0.18512683621397907,0.0013339395173294854,0.9471333333333334,0.0007637626158259074
relu,7,0.1721760586720027,0.003859309322034766,0.9514466666666667,0.0013833775093348329,0.1727932096543695,0.004923508216670939,0.9508666666666666,0.0010692676621563539
relu,8,0.15690546064106178,0.004555505467954045,0.95614,0.0013426838793997979,0.16229856573501542,0.007856635078880467,0.9526333333333333,0.002458319208998993
relu,9,0.1437654108671731,0.005376217299784359,0.9597600000000001,0.0014204224723651947,0.15127977800775272,0.004783834980052657,0.9562333333333334,0.0012096831541082468
relu,10,0.13246468420859162,0.005385739358902367,0.9629,0.0020473397373176956,0.14230352106413716,0.0023474590245035616,0.9593333333333334,0.0013203534880225692
relu,11,0.12250776165858819,0.005099306059988397,0.96624,0.001356908250398639,0.1339686773872553,0.006202245408602153,0.9610666666666666,0.001563116545025765
relu,12,0.11362621639940025,0.004866994582094991,0.9685533333333334,0.0015763671315190055,0.12731770220565283,0.003398170887631685,0.9629666666666666,0.001625833119767575
relu,13,0.10602074130265415,0.004780409468958214,0.9706666666666667,0.000941558990894014,0.1216776712840701,0.003822008681577433,0.9644666666666666,0.0015143755588800174
relu,14,0.099269416911117,0.004381128805650057,0.9723133333333333,0.0013106232614040734,0.11564304576467492,0.0051502537377839126,0.9660000000000001,0.0006244997998398266
relu,15,0.09304255195436606,0.004012842431919067,0.9745533333333333,0.001623124558785659,0.1114795020717938,0.003896274780054789,0.9674999999999999,0.0009643650760993
relu,16,0.08772021967369709,0.0037371513608123953,0.9760466666666666,0.0013917375231462974,0.10861295196602389,0.004720225008342776,0.9679333333333333,0.0011676186592091081
relu,17,0.08261251595066856,0.0034794259111158,0.9775200000000001,0.0008861151166749729,0.10425838432501437,0.003244565957950851,0.969,0.0007000000000000022
relu,18,0.07811272485942272,0.0029850635349844535,0.9790266666666666,0.0009000740710260186,0.10143341161006621,0.0022099711538135086,0.9700000000000001,0.0009643650760992684
relu,19,0.073916927931814,0.0026986411060947995,0.9798266666666667,0.0006331929669013808,0.09861300230311,0.0030721104557227858,0.9708333333333333,0.00015275252316517785
relu,20,0.07017349411035437,0.0024833696834105903,0.98096,0.0005670978751504083,0.0952258781653698,0.0021058165593694114,0.9712999999999999,0.0005291502622129227
relu,21,0.06679001515286358,0.0023544676167240987,0.98202,0.000869712596206345,0.09515301208880111,0.0017287036225916426,0.9713333333333334,0.0007023769168567878
relu,22,0.06341089683157086,0.0020030289129934083,0.98278,0.0005737595315112179,0.09250835171266843,0.002803204798851627,0.9723,0.0004358898943540894
relu,23,0.060384145537220414,0.001984204868725555,0.9838066666666666,0.000816414927186688,0.09078168411001226,0.001992574709938756,0.9733333333333333,0.0008962886439831762
relu,24,0.057650409380614276,0.0016915037374897123,0.9848933333333333,0.0005315386470740332,0.09048697535067368,0.0012418618856702367,0.9723333333333333,0.000981495457622392
relu,25,0.055154306007160425,0.00131519924288109,0.9855533333333333,0.000443771713083849,0.08763693852751787,0.001592362078830507,0.9734333333333334,0.0009018499505645904
relu,26,0.05273698453935787,0.001290738125223323,0.9861466666666666,0.00040857475856121426,0.0868585631146912,0.0014670550398922025,0.9736333333333334,0.0011503622617824783
relu,27,0.05040172769045278,0.0011665801699141522,0.9869866666666667,0.00027153882472551356,0.08555775861886639,0.0015199049102533574,0.9735333333333333,0.001357694123627716
relu,28,0.048115282874094244,0.0011121560468572561,0.9876133333333333,0.0004957149718672519,0.08498388799011915,0.004032012491447117,0.9743333333333334,0.001517673658377618
relu,29,0.04623315823006044,0.000965888517645052,0.9883733333333332,0.00030615900008542144,0.08437932427118792,0.00026023405489768815,0.9735999999999999,0.0012529964086141418
relu,30,0.044273014170971424,0.0008057150522589293,0.9886666666666667,0.0003251666239535113,0.08356874721970552,0.001273928027502474,0.9746,0.00019999999999997797
relu,31,0.04249942034857231,0.000769172085939626,0.9894866666666666,0.0002914332399252707,0.0838567631860046,0.0030390356605067897,0.9746,0.0017435595774162494
relu,32,0.040826843953489844,0.0005376231594828699,0.98984,0.0003555277766926278,0.08072812174012818,0.0008458903485678006,0.9754999999999999,0.0005291502622129227
relu,33,0.03918237626093607,0.0005915772896225912,0.99056,0.0002835489375751151,0.07991164663222951,0.002363607135400955,0.9756,0.0007211102550927762
relu,34,0.037503108983014684,0.0004808303538342157,0.9909733333333334,0.00023094010767582486,0.08008884475769097,0.0014988953770450231,0.9755666666666666,0.0006429100507328993
relu,35,0.03630594809054636,0.0004431466222821437,0.9913133333333333,0.00018583146486353012,0.07811293206106626,0.001496071461686148,0.9757333333333333,0.0008504900548115545
relu,36,0.034862743818552235,0.00028683809914445884,0.9916533333333333,4.1633319989417626e-05,0.07845691767323949,0.0010473178565717468,0.976,0.0013453624047074157
relu,37,0.03344436329326839,0.0002457611047380525,0.9921266666666666,0.00019731531449267186,0.07819354100150816,0.0009745403200578721,0.9762,0.0002000000000000196
relu,38,0.03228943825826078,0.00026989245808879366,0.9925333333333333,0.00013316656236956193,0.07832839380150332,0.0018149813366143935,0.9757666666666666,0.0012897028081435289
relu,39,0.031127449203689327,0.00020894897782346297,0.9927933333333333,0.0002802379940931177,0.07636817869883011,0.0008593813210298408,0.9762333333333334,0.00023094010767590498
relu,40,0.029915289271977508,0.00012415169381605758,0.9935333333333333,0.00016041612554022278,0.07743188770395965,0.0020199124005817414,0.9766,0.00043588989435409893
relu,41,0.02874983041716706,0.0001900721290766138,0.9936599999999999,6.92820323027122e-05,0.07648417450039925,0.0012176916798460147,0.9772666666666666,0.00020816659994669258
relu,42,0.027753492432156347,0.00014260127432228867,0.99398,6.928203230280035e-05,0.07679657185275195,0.0020947169143410386,0.9766666666666667,0.00015275252316517785
relu,43,0.026779869518993003,0.00010787427765546945,0.9943533333333333,7.571877794400362e-05,0.07538190954576697,0.001005888407933274,0.9767,0.0010000000000000009
relu,44,0.02581581640127394,0.00010692193100173725,0.9946533333333334,0.00015011106998928455,0.07560807636710465,0.0012985877058764735,0.9771666666666667,0.00040414518843275764
relu,45,0.02489578031640396,0.00012021481552886591,0.9950666666666667,0.0002003330560175885,0.07586529194881654,0.002596335160143442,0.9773333333333333,0.00045092497528231157
relu,46,0.02400957617774861,4.758189392732563e-05,0.9952866666666665,6.11010092660784e-05,0.07567536459329817,0.001518553207160684,0.9774666666666668,0.0010066445913694364
relu,47,0.02330098670888724,6.61974937267532e-05,0.99552,0.0001969771560359345,0.0758081883120658,0.0024804106699587336,0.9769,0.0009539392014169512
relu,48,0.02247279877636404,0.000152371459838283,0.99588,0.00019078784028338792,0.0745685377853647,0.0016504288559480889,0.9774666666666666,0.0006506407098647308
relu,49,0.021706771766881735,4.729664943513369e-05,0.9961133333333333,0.0002730079363925412,0.07521207688521388,0.0008062261224362061,0.9769666666666666,0.00023094010767582486
relu,50,0.02101105213001873,8.251657403007768e-05,0.9963733333333332,5.7735026918956215e-05,0.07528334351421688,0.001712464445446405,0.9779666666666667,5.7735026918956215e-05
relu,51,0.020339210059186402,5.555364370096205e-05,0.99652,0.0002029778313018628,0.07488684942046993,0.0023029902187950003,0.9780333333333333,0.0005507570547285647
relu,52,0.01961467657915437,0.0001568752394467138,0.9968266666666666,0.00020231987873985252,0.07462418365811375,0.001495989568560623,0.9778666666666668,0.00032145502536639643
relu,53,0.018981159008784405,0.00016021478733901353,0.9968933333333333,0.00017243356208500703,0.0747460169351205,0.002135035606307604,0.9779,0.0009539392014169396
relu,54,0.01831018010505366,0.00014687641514961843,0.9972600000000001,0.0002088061301782284,0.07409012138485722,0.001909042049118547,0.9779666666666667,0.0005033222956846778
relu,55,0.017778783946655195,9.317686358109889e-05,0.9973466666666666,0.0001700980109623657,0.07467724974915509,0.0026806612170205473,0.9778333333333333,0.00032145502536639643
relu,56,0.01712622926856722,0.00016983888001068824,0.9976066666666666,0.0002914332399252707,0.07475108258947168,0.0016198686431310927,0.9781,0.0008888194417315766
relu,57,0.016717705382739714,0.0002004453244788275,0.9976266666666667,0.0001890326250500937,0.07413094924126958,0.0015555834567676416,0.9779333333333332,0.000850490054811549
relu,58,0.01612528450570355,0.0001222079017871741,0.9978866666666667,0.0001604161255402049,0.07393158090217881,0.0017079623614000658,0.9781,0.0010583005244258247
relu,59,0.0156378335185135,0.00010276360832998771,0.99804,9.999999999998899e-05,0.07372914471465497,0.0021204746584387326,0.9779333333333332,0.0010115993936995553
relu,60,0.015180741390601328,0.000169496387662029,0.9980600000000001,0.00019287301521986924,0.07408887867615628,0.0015384618562633773,0.9786666666666667,0.00047258156262528807
relu,61,0.014735170716632731,0.00022461848794970494,0.9982866666666667,0.0002042873792805367,0.07395098913764142,0.001292571357054472,0.9781333333333334,0.000513160143944659
relu,62,0.014361494833904946,0.0001920180883579769,0.9983333333333334,9.865765724630638e-05,0.07346327163116796,0.0007998294217400243,0.9781333333333334,0.0009451631252504381
relu,63,0.013882632584742413,0.00013016469073464794,0.9983533333333333,3.05505046330816e-05,0.07419265782264296,0.0016050559169387814,0.9781999999999998,9.999999999998899e-05
relu,64,0.013478326794575635,0.00020962067350630903,0.9985466666666666,4.1633319989279844e-05,0.07431296490521107,0.0023005411420832134,0.9782333333333333,0.0005033222956846722
relu,65,0.01311417495629188,0.00014700385234819985,0.9986066666666668,9.237604307031232e-05,0.07447104634064114,0.001997424982758262,0.9781,0.0005291502622128756
relu,66,0.01272690498609781,0.0002653241674622602,0.99878,3.464101615139617e-05,0.07452585058173139,0.0017034403738448412,0.9784,0.0006244997998398488
relu,67,0.01233993260076177,0.00022443072812627015,0.9987933333333334,7.023769168563004e-05,0.07472971096985483,0.0022146667698062015,0.9782333333333333,0.00030550504633038297
relu,68,0.01198937927374837,0.00023276790165475516,0.9988933333333333,0.00016772994167214378,0.07435300890836456,0.0014627427601479252,0.9784666666666667,0.0008962886439832882
relu,69,0.01171554452655981,0.00021924737640350003,0.999,0.00010392304845415645,0.07493258185383317,0.00243780218277088,0.9777999999999999,0.0008544003745317402
relu,70,0.011358856774967922,0.00024190209615223632,0.9990333333333333,6.110100926610868e-05,0.0753486849247215,0.002668724996558395,0.9782000000000001,0.0011357816691600629
relu,71,0.01106775400126829,0.0002543385145240992,0.9990866666666666,0.0001446835627613857,0.07476205267835338,0.001532383080746696,0.9782333333333333,0.0008504900548115566
relu,72,0.010780002117462786,0.00018272703136139502,0.9991333333333333,0.00013613718571107026,0.07488881581108758,0.0023974450312070697,0.9786,0.0004999999999999727
relu,73,0.010458768321837975,0.0001968396512039954,0.9991933333333334,2.3094010767600115e-05,0.0744381605677596,0.002563859597781299,0.9785666666666666,0.0009291573243177895
relu,74,0.010194595324515021,0.00019597907328047608,0.9992333333333333,0.00012055427546683117,0.07442089897460452,0.002377615176910693,0.9784,0.0007000000000000378
relu,75,0.009922438445403551,0.00022471672850349415,0.9992066666666667,0.00010066445913697415,0.07514752401778496,0.0026303228450226565,0.9784333333333333,0.0014294521094927713
relu,76,0.009665177074351801,0.00023285382966958733,0.9993266666666667,7.023769168568667e-05,0.07472568632058589,0.0023884054190529184,0.9785333333333334,0.0006027713773341397
relu,77,0.009462195116882536,0.00025521584138135927,0.9993333333333334,0.00012858201014655598,0.07541409977706222,0.002016252555171229,0.9784333333333333,0.0004932882862315929
relu,78,0.009177786224622035,0.00022901623193914505,0.9994066666666667,7.571877794399629e-05,0.07521471237488321,0.0023024927944545626,0.9783333333333334,0.0007234178138070238
relu,79,0.008975159738158012,0.00022992930268093733,0.9994333333333333,7.571877794393885e-05,0.07551954794496409,0.0021652429703686144,0.9785666666666666,0.0006658328118479473
relu,80,0.008778189057753084,0.00022588580560562363,0.9994333333333333,0.00011015141094570705,0.07508935043908806,0.002628507042403563,0.9787,0.00019999999999997797
relu,81,0.008556600073487831,0.0002152781801449742,0.9994733333333334,1.1547005383804064e-05,0.07520673455756277,0.0019122778543628177,0.9788,0.0007211102550928571
relu,82,0.008382848528342458,0.0002766062363989199,0.9995066666666667,4.163331998931096e-05,0.07496322759794279,0.0021135916511553807,0.9787333333333333,0.000650640709864782
relu,83,0.008152843685738036,0.00024472051312259956,0.9995266666666667,2.3094010767528006e-05,0.07600455282854225,0.0027288731361033787,0.9788333333333332,0.0005686240703077474
relu,84,0.008000293324048518,0.0002064840684490685,0.9995733333333333,4.163331998927096e-05,0.07593431446361967,0.0028432884371949077,0.9785333333333334,0.0004725815626252871
relu,85,0.0077888852474846644,0.00021778695700924535,0.9995866666666666,6.429100507327727e-05,0.07548362097774408,0.0027700311794144924,0.9784666666666667,0.0005033222956847256
relu,86,0.007603842511428396,0.00021661736937406956,0.9996133333333334,8.082903768656892e-05,0.07605557924973942,0.00246880279583043,0.9786,0.0005567764362830031
relu,87,0.007424359595789228,0.00022730911300675286,0.9996,5.2915026221229334e-05,0.07720670715343661,0.0031277458764118657,0.9784333333333333,0.0006027713773341397
relu,88,0.007264318091144681,0.00020035472105813995,0.99966,0.0001113552872565772,0.0763238585293398,0.0030014017216344236,0.9784333333333333,0.0005859465277082822
relu,89,0.007105041753112586,0.00021343535287922225,0.99968,2.0000000000020002e-05,0.07686799200265437,0.0017846702538456887,0.9786,0.0008660254037844795
relu,90,0.00696444716809138,0.00016697242497524362,0.9997066666666666,3.055050463296652e-05,0.07630034405995452,0.0028226112377376118,0.9788,0.0007549834435270727
relu,91,0.0067915843127211864,0.00021962384894694267,0.9996733333333333,4.163331998932207e-05,0.07677019763206598,0.0024879126796959433,0.9787333333333333,0.0005507570547286167
relu,92,0.006657611391167451,0.00017606269803610838,0.9997333333333334,6.110100926604812e-05,0.07634724333235128,0.0018869264998149964,0.9788,0.0008999999999999841
relu,93,0.006505724965992245,0.000211287734661982,0.9997133333333333,5.7735026918956215e-05,0.07666999351061109,0.002704337552603807,0.9788333333333333,0.0011590225767142315
relu,94,0.006399738535007095,0.0001859684301012734,0.9997333333333334,3.0550504632954405e-05,0.0764993357742355,0.0022895050271172362,0.9788666666666668,0.0009237604307034117
relu,95,0.006244189016606209,0.00018743395688639795,0.9997666666666666,7.023769168568667e-05,0.07717689478099425,0.0023880728259248773,0.9786666666666667,0.0003214550253664756
relu,96,0.006120984261005526,0.0001828757600404442,0.9997733333333333,2.3094010767600115e-05,0.07715190319579361,0.002904674025388365,0.9784666666666667,0.0005507570547286638
relu,97,0.006005386596230423,0.00015435407989658655,0.9997866666666667,1.1547005383755988e-05,0.07671687026746331,0.0025311493038326386,0.9787,0.0010816653826392086
relu,98,0.005871456070066903,0.00015289838109739106,0.99982,3.46410161513561e-05,0.07707698085069391,0.0030400967116684004,0.9787666666666667,0.0005033222956847256
relu,99,0.005772712255377735,0.00015908358090995894,0.9998266666666668,2.3094010767528006e-05,0.07734428173423145,0.002700310476915457,0.9786333333333334,0.0007505553499465701
relu,100,0.005652763453189782,0.00015398408536788515,0.99984,3.46410161513561e-05,0.07762736575756042,0.0026860155832920916,0.9785666666666667,0.0009073771725877313
sigmoid,1,1.8826080051693077,0.006988109911285528,0.4035666666666667,0.003960824829922836,1.0949790393709635,0.007265330090441436,0.7164333333333334,0.006700248751601185
sigmoid,2,0.7524567238398375,0.0031294893165630506,0.8115333333333333,0.0005658032638058314,0.5669507700698627,0.0036881070225083033,0.8486333333333334,0.003008875759039108
sigmoid,3,0.4896476545002841,0.0017525088279084682,0.8712399999999999,0.0001928730152198937,0.43357148132111273,0.0026893309871421785,0.8822000000000001,0.002095232683975733
sigmoid,4,0.4053603073821442,0.000766377238792302,0.8900266666666666,0.0001514375558879828,0.37802843819527226,0.002805574306263917,0.8947666666666666,0.0008082903768654614
sigmoid,5,0.3639861489156133,0.0005881741920554733,0.89888,0.0005502726596879269,0.34447991695806507,0.00031571878913452914,0.9024333333333333,0.0006027713773341697
sigmoid,6,0.33875967033267873,0.0005069500264854447,0.9043466666666666,0.0001474222959166505,0.32345760343976837,0.0007890785819957988,0.9073666666666668,0.0006027713773341774
sigmoid,7,0.32090112060355436,0.00033731953104020333,0.9087733333333334,0.00018583146486353012,0.3099380933102445,0.0011405275663145453,0.9116,0.0011532562594670608
sigmoid,8,0.30705143284859265,0.00022157457111937864,0.91206,0.0002986636904613666,0.2970822237575588,0.00034462075783461745,0.9138666666666667,0.0005686240703077172
sigmoid,9,0.29551501840210853,0.0002808697395298263,0.9152733333333334,0.00019731531449270658,0.28794196082453183,0.0011822142891225772,0.9156666666666666,0.001026320287889372
sigmoid,10,0.28581354731515485,0.00018113249914618456,0.9179333333333334,0.0003419551627528479,0.27898314573744876,0.002445062534482583,0.9188000000000001,0.0008888194417315703
sigmoid,11,0.2769746025196418,0.00010572277906809873,0.9205,0.0007118988692222985,0.27123693504290025,0.0011716573119324412,0.9206,0.0004999999999999588
sigmoid,12,0.26865204285161914,0.00013962533482397092,0.9228200000000001,0.0003616628264004843,0.26395516802805274,0.0005949510034195344,0.9225,0.001307669683062214
sigmoid,13,0.26105361850724557,0.00036887061688064605,0.92522,0.00039949968710874766,0.25735614851668814,0.0009957248316631272,0.9244666666666667,0.0004163331998931807
