activation,train_loss_mean,train_loss_std,train_accuracy_mean,train_accuracy_std,val_loss_mean,val_loss_std,val_accuracy_mean,val_accuracy_std,runs_reaching_95,mean_epoch_to_95,std_epoch_to_95
relu,0.0053681627628944335,0.0001472727656417097,0.9998533333333333,1.1547005383796051e-05,0.07762736575756042,0.0026860155832920916,0.9785666666666667,0.0009073771725877313,3,7.666666666666667,1.1547005383792517
sigmoid,0.0638516822088145,0.0011798355230718763,0.9831333333333333,0.00040513372277970947,0.09410081929629606,0.0006518990204643427,0.9718666666666667,0.00040414518843269356,3,32.333333333333336,0.5773502691896263
tanh,0.008521305486512335,0.00010240405601575408,0.9995733333333333,4.163331998927096e-05,0.07103506569027983,0.000447270821515483,0.9785333333333334,0.0007371114795831389,3,9.0,0.0
